index_seg,MONTH,YEAR,MOTOR VEHICLE THEFT,ROBBERY,ASSAULT W/DANGEROUS WEAPON,THEFT/OTHER,THEFT F/AUTO,BURGLARY,ARSON,SEX ABUSE,HOMICIDE
11740,10.0,2016.0,1.0,,,1.0,1.0,,,,
12941,12.0,2016.0,1.0,1.0,2.0,3.0,1.0,1.0,,,1.0
10933,11.0,2016.0,,1.0,1.0,1.0,,,,,
681,12.0,2015.0,1.0,2.0,1.0,1.0,2.0,1.0,,,
10864,1.0,2014.0,,1.0,,,,,,,
10379,12.0,2016.0,1.0,,,1.0,1.0,,,,
237,9.0,2016.0,,,,,1.0,,,,
13117,9.0,2016.0,,1.0,,1.0,1.0,,,,
707,2.0,2015.0,,,,,1.0,,,,
3255,7.0,2014.0,1.0,,,,2.0,,,,
4905,7.0,2015.0,,,,1.0,1.0,,,,
3599,11.0,2014.0,1.0,1.0,,1.0,1.0,3.0,,,
10931,12.0,2015.0,1.0,1.0,2.0,2.0,2.0,1.0,,,
5824,12.0,2014.0,,,,1.0,,,,,
9533,6.0,2014.0,1.0,1.0,,,,,,,
8610,2.0,2014.0,1.0,,,,,,,,
8801,6.0,2015.0,1.0,,,,1.0,,,,
105,12.0,2014.0,,1.0,,1.0,1.0,,1.0,,
231,12.0,2016.0,1.0,1.0,,1.0,1.0,,,,
319,10.0,2014.0,1.0,1.0,,1.0,1.0,,,,
8329,10.0,2015.0,,1.0,2.0,1.0,1.0,1.0,,,
5790,11.0,2014.0,,,1.0,,,,,,
3126,11.0,2014.0,,1.0,,2.0,1.0,2.0,,,
5521,11.0,2014.0,1.0,2.0,,1.0,1.0,1.0,,,
1327,7.0,2014.0,,,,,1.0,,,,
8622,7.0,2015.0,1.0,1.0,,,,,,1.0,
9962,11.0,2016.0,1.0,1.0,,1.0,1.0,1.0,,,1.0
4511,11.0,2015.0,,,,1.0,,,,,
4132,10.0,2016.0,1.0,,,1.0,1.0,,,,
5158,8.0,2014.0,,,,,2.0,,,,
1817,7.0,2016.0,,,,1.0,,,,,
1814,7.0,2014.0,,,,,1.0,,,,
7748,8.0,2015.0,1.0,,,,,,,,
8273,12.0,2016.0,1.0,,1.0,,,1.0,,,
2279,12.0,2016.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
8584,7.0,2014.0,1.0,,,,1.0,,,,
11403,11.0,2015.0,,1.0,1.0,1.0,,1.0,,,
3722,12.0,2016.0,1.0,2.0,1.0,9.0,2.0,1.0,,1.0,
7569,10.0,2014.0,1.0,,,2.0,1.0,,,,
11534,9.0,2014.0,,,,1.0,1.0,,,,
8943,10.0,2016.0,1.0,,1.0,1.0,,,,,
8181,9.0,2014.0,,,,,1.0,,,,
11090,11.0,2014.0,,1.0,1.0,1.0,1.0,,,,
6497,4.0,2015.0,,,,,1.0,,,,
754,12.0,2015.0,1.0,1.0,,1.0,1.0,2.0,,,
4665,12.0,2014.0,,,,1.0,2.0,1.0,,1.0,
2398,8.0,2014.0,,,,,1.0,,,,
10147,12.0,2014.0,1.0,,,1.0,1.0,,,,
1037,9.0,2014.0,,,,1.0,1.0,1.0,,,
242,12.0,2014.0,,,,1.0,1.0,,,,
25,12.0,2015.0,1.0,,,,1.0,,,,
595,10.0,2014.0,,1.0,1.0,,1.0,,,,
2361,11.0,2015.0,,1.0,,1.0,,,,,
5094,8.0,2014.0,,,,1.0,,,,,
10029,9.0,2016.0,,1.0,,,1.0,,,,
5751,12.0,2014.0,1.0,,,1.0,1.0,,,,
12436,2.0,2014.0,,,,1.0,,,,,
4896,4.0,2014.0,,,,1.0,,,,,
10832,10.0,2014.0,1.0,,,1.0,1.0,1.0,,,
771,9.0,2016.0,,1.0,,1.0,2.0,1.0,,,
8929,11.0,2016.0,1.0,1.0,,,1.0,,,,
11104,11.0,2016.0,1.0,2.0,1.0,1.0,1.0,,,,
8630,5.0,2014.0,,,,,1.0,,,,
7346,9.0,2016.0,1.0,,,1.0,,1.0,,,
982,12.0,2015.0,1.0,,,1.0,5.0,,,,
2606,11.0,2014.0,,,,,1.0,,,,
1339,1.0,2014.0,,,,,1.0,,,,
2867,7.0,2016.0,,,,1.0,1.0,,,,
5431,8.0,2014.0,1.0,,,,1.0,,,,
9820,7.0,2016.0,,,,1.0,,,,,
5339,10.0,2016.0,,1.0,1.0,1.0,1.0,,,,
2642,12.0,2015.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,
6724,11.0,2015.0,1.0,,,1.0,1.0,,,,
964,12.0,2014.0,,,,,1.0,,,,
562,11.0,2015.0,1.0,,,,1.0,,,,
12966,6.0,2016.0,,,1.0,,,,,,
403,12.0,2016.0,1.0,1.0,1.0,2.0,1.0,1.0,,,
12735,6.0,2014.0,,,1.0,,1.0,,,,
10545,12.0,2014.0,,,,1.0,1.0,,,1.0,
13090,12.0,2014.0,1.0,,,,1.0,1.0,,,
1548,9.0,2014.0,,,,,,1.0,,,
10383,12.0,2015.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0
6266,12.0,2016.0,1.0,1.0,1.0,2.0,2.0,1.0,,,
12651,10.0,2014.0,1.0,,,1.0,1.0,1.0,,,
2458,9.0,2016.0,,,,,1.0,,,,
6824,11.0,2014.0,,,,,1.0,1.0,,,
4076,12.0,2014.0,,1.0,,1.0,1.0,,,,
6441,12.0,2016.0,2.0,1.0,1.0,1.0,1.0,1.0,,,
1837,6.0,2015.0,,1.0,,1.0,,,,,
5513,6.0,2015.0,,1.0,,1.0,,,,,
901,12.0,2015.0,1.0,1.0,,1.0,1.0,1.0,,1.0,
9379,4.0,2015.0,,1.0,,,,,,,
11470,10.0,2015.0,,1.0,,1.0,,,,,
9554,12.0,2016.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
11195,11.0,2014.0,,,,1.0,,1.0,,,
2958,10.0,2015.0,,,,,1.0,,,,
5304,12.0,2015.0,1.0,1.0,1.0,1.0,1.0,,,,
6223,11.0,2016.0,,,,1.0,1.0,,,,
7623,8.0,2016.0,1.0,,,,,,,,
4361,11.0,2015.0,,1.0,1.0,1.0,,,,,
3154,12.0,2014.0,,1.0,1.0,,,,,,
8957,11.0,2016.0,,,,1.0,1.0,,,,
4148,3.0,2015.0,,,,1.0,,,,,
11294,12.0,2015.0,,1.0,1.0,1.0,2.0,1.0,,,
7818,8.0,2015.0,,,,,1.0,,,,
1362,10.0,2015.0,,,,1.0,1.0,,,,
1179,10.0,2015.0,,,,,1.0,,,,
7045,9.0,2016.0,,,1.0,1.0,,1.0,,,
5617,12.0,2016.0,,,1.0,1.0,1.0,1.0,,,
2414,11.0,2016.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
10267,12.0,2014.0,,1.0,1.0,,,,,,
1338,1.0,2015.0,,,,,1.0,,,,
10437,11.0,2014.0,,1.0,1.0,1.0,,,,,
11590,12.0,2015.0,1.0,1.0,1.0,1.0,1.0,2.0,,,1.0
5333,12.0,2016.0,1.0,1.0,1.0,1.0,1.0,,,1.0,
2182,11.0,2015.0,,,,,1.0,1.0,,,
10276,12.0,2015.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
13258,8.0,2014.0,1.0,,,,,,,,
6167,12.0,2015.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
5241,12.0,2014.0,,,,,1.0,,,,
8650,11.0,2014.0,1.0,1.0,1.0,,1.0,,,,
12555,11.0,2016.0,1.0,1.0,,,,,,,
3309,12.0,2015.0,,,,,1.0,,,,
3071,8.0,2016.0,,,,,1.0,,,,
7002,3.0,2014.0,,1.0,,,,,,,
4355,12.0,2015.0,,1.0,1.0,1.0,1.0,,,,
35,9.0,2015.0,,,1.0,,1.0,,,,
4584,12.0,2015.0,1.0,1.0,1.0,1.0,2.0,1.0,,,
2755,12.0,2015.0,1.0,1.0,1.0,1.0,2.0,,,,
1166,10.0,2015.0,,1.0,,1.0,1.0,,,,
12521,12.0,2016.0,1.0,,,1.0,1.0,1.0,,,
3460,10.0,2016.0,,,,1.0,1.0,,,,
9901,12.0,2016.0,1.0,,,,1.0,1.0,,,
10164,8.0,2014.0,,,,1.0,,,,,
4397,10.0,2015.0,,,1.0,1.0,1.0,,,,
6707,12.0,2016.0,1.0,,,1.0,1.0,1.0,,,
3817,12.0,2015.0,1.0,,,1.0,1.0,1.0,,,
12509,10.0,2014.0,,,,1.0,1.0,,,,
8467,12.0,2016.0,1.0,2.0,1.0,2.0,1.0,1.0,,1.0,1.0
11219,8.0,2015.0,,,1.0,,,,,1.0,
2549,12.0,2016.0,1.0,,,1.0,1.0,1.0,,,
5549,10.0,2014.0,1.0,,,,1.0,,,,
10708,10.0,2015.0,1.0,1.0,1.0,,1.0,,,,
7321,11.0,2015.0,1.0,1.0,,1.0,2.0,,,,
5802,12.0,2016.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,
1790,9.0,2014.0,,,,,1.0,,,,
8953,11.0,2015.0,1.0,1.0,,1.0,1.0,,,,
5839,11.0,2014.0,1.0,1.0,1.0,,2.0,1.0,,,
2418,12.0,2016.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,
12315,12.0,2016.0,,1.0,,1.0,,,,,
6116,12.0,2014.0,1.0,,,1.0,1.0,,,,
6429,6.0,2014.0,,1.0,,,,,,,
3503,4.0,2014.0,,,,,,1.0,,,
2325,2.0,2016.0,,,,1.0,,,,,
11680,9.0,2015.0,1.0,,,,,,,,
11719,8.0,2015.0,,1.0,,,,,,,
5609,2.0,2015.0,,,,,3.0,,,,
2337,3.0,2015.0,,,,,1.0,,,,
4819,3.0,2015.0,,,,,,1.0,,,
2111,6.0,2016.0,1.0,,,1.0,1.0,,,,1.0
4648,12.0,2016.0,,,,1.0,1.0,1.0,,,
3346,11.0,2015.0,1.0,,,,1.0,,,,
3856,11.0,2015.0,,,1.0,1.0,1.0,,,,
2248,8.0,2016.0,,,,,1.0,,,,
6480,12.0,2016.0,,1.0,1.0,1.0,1.0,1.0,,,
6738,3.0,2015.0,,,,,1.0,,,,
413,7.0,2014.0,,,1.0,,,,,,
8393,4.0,2015.0,,,,,1.0,,,,
6962,10.0,2015.0,,,,1.0,,1.0,,,
4477,12.0,2015.0,1.0,1.0,,1.0,1.0,,,,
2165,9.0,2016.0,,,,1.0,1.0,,,,
5684,9.0,2014.0,,,,1.0,1.0,,,,
6106,1.0,2014.0,,,,,1.0,,,,
11468,7.0,2015.0,,,,1.0,,,,,
3252,8.0,2015.0,,,,,,1.0,,,
188,12.0,2016.0,1.0,1.0,1.0,1.0,1.0,,,,
4383,8.0,2016.0,,,,,1.0,,,,
3655,12.0,2015.0,,1.0,1.0,5.0,1.0,1.0,,,
12766,1.0,2014.0,,,,1.0,,3.0,,,
4126,7.0,2016.0,,,,,1.0,,,,
5081,12.0,2016.0,1.0,1.0,3.0,1.0,2.0,1.0,,1.0,
360,10.0,2014.0,,,1.0,,1.0,,,,
4183,11.0,2015.0,1.0,1.0,1.0,1.0,1.0,,,,
11279,12.0,2016.0,,,,1.0,,,,,
8307,12.0,2016.0,1.0,1.0,,1.0,1.0,,,,
9824,10.0,2014.0,,,,2.0,1.0,1.0,,,
8083,11.0,2014.0,1.0,,,1.0,,,,,
3029,8.0,2015.0,1.0,,,,,,,,
6363,10.0,2015.0,,,,,,1.0,,,
11347,12.0,2015.0,1.0,1.0,1.0,1.0,,1.0,,,
10592,11.0,2014.0,,1.0,,,,,,,
11626,11.0,2015.0,1.0,1.0,1.0,1.0,1.0,,,,
4177,5.0,2016.0,,,,,2.0,,,,
1008,9.0,2015.0,,1.0,,,2.0,,,,
6258,12.0,2015.0,1.0,1.0,,1.0,1.0,1.0,,,
10212,11.0,2016.0,1.0,1.0,2.0,1.0,1.0,1.0,,,1.0
7557,12.0,2014.0,,1.0,,1.0,,1.0,,,
5672,9.0,2016.0,,,,1.0,1.0,,,,
839,10.0,2015.0,,1.0,,,,,,,
6799,12.0,2014.0,,,1.0,1.0,1.0,,,,
8381,4.0,2014.0,1.0,,,,,,,,
4681,10.0,2014.0,,1.0,,,,,,,
316,10.0,2014.0,,,,,1.0,,,,
4903,8.0,2015.0,,,,1.0,1.0,,,,
6590,5.0,2014.0,,1.0,,1.0,,,,,
6999,11.0,2015.0,1.0,,,1.0,1.0,,,,
9291,11.0,2016.0,,,,1.0,1.0,1.0,,,1.0
12480,7.0,2015.0,,,1.0,,,,,,
11485,11.0,2015.0,2.0,1.0,,1.0,1.0,,,,
1298,12.0,2015.0,,,1.0,1.0,1.0,1.0,,,
9264,12.0,2016.0,1.0,2.0,1.0,1.0,1.0,,,,
11786,12.0,2014.0,1.0,1.0,1.0,1.0,1.0,,,1.0,
9569,9.0,2016.0,,,,1.0,1.0,1.0,,,
9646,9.0,2015.0,,1.0,,,1.0,1.0,,,
6680,7.0,2015.0,1.0,,,,1.0,,,,
752,12.0,2014.0,1.0,1.0,,1.0,1.0,1.0,,,
9023,11.0,2014.0,1.0,,1.0,,1.0,,,,
6296,10.0,2015.0,1.0,,,1.0,1.0,,,,
3161,11.0,2016.0,,,,1.0,1.0,1.0,,,
3705,7.0,2016.0,,,,,1.0,,,,
4052,11.0,2014.0,,1.0,,1.0,1.0,,,,
1562,10.0,2015.0,,,,,1.0,,,,
3107,11.0,2014.0,,,,1.0,1.0,,,,
1845,11.0,2015.0,,,,1.0,,,,,
909,5.0,2014.0,,,,,,1.0,,,
9770,11.0,2014.0,,1.0,,1.0,1.0,1.0,,,
1098,12.0,2014.0,1.0,1.0,,1.0,1.0,,,,
8986,10.0,2014.0,,1.0,1.0,1.0,1.0,1.0,,,
10131,12.0,2016.0,1.0,1.0,1.0,1.0,1.0,,,,
1238,12.0,2016.0,1.0,1.0,,1.0,1.0,,,,
1365,12.0,2015.0,,,,,1.0,1.0,,,
9301,12.0,2016.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,
9181,6.0,2016.0,,,,1.0,1.0,,,,
4756,11.0,2014.0,1.0,,,1.0,,1.0,,,
11480,11.0,2014.0,1.0,,,1.0,1.0,1.0,,,
9515,4.0,2014.0,,,,,1.0,,,,
10789,12.0,2015.0,1.0,1.0,,1.0,1.0,1.0,,,
2811,12.0,2016.0,1.0,,1.0,2.0,1.0,,,,
751,12.0,2014.0,2.0,1.0,,2.0,1.0,1.0,,,
12134,11.0,2014.0,1.0,,,,1.0,,,,
9062,12.0,2016.0,1.0,1.0,1.0,2.0,1.0,,,,
4577,1.0,2015.0,,1.0,,,,,,,
846,11.0,2014.0,,1.0,1.0,1.0,1.0,,,,
6933,12.0,2016.0,,,,2.0,1.0,,,,
9657,12.0,2014.0,,1.0,,1.0,1.0,,,,
4277,11.0,2014.0,1.0,1.0,,1.0,1.0,,,,
720,12.0,2015.0,1.0,1.0,,,1.0,,,,
2332,10.0,2014.0,,1.0,,1.0,1.0,,,,
5644,11.0,2016.0,,1.0,1.0,1.0,1.0,1.0,,,
7537,10.0,2014.0,1.0,,,1.0,1.0,,,,
8712,12.0,2016.0,,1.0,,,1.0,1.0,,,
