index_seg,poi_total,crash_total,311_total,311_total_not_parking_meter,v0_total,crime_total,moving_total,parking_total
74,6.0,1.0,35.0,0.0,0.0,187.0,44.0,21.0
75,30.0,3.0,42.0,0.0,2.0,181.0,1.0,236.0
76,27.0,14.0,37.0,0.0,3.0,170.0,6.0,603.3206537460227
77,22.0,19.0,19.0,0.0,1.0,196.0,160.36049058256683,603.3206537460227
78,9.0,7.719370860927152,26.0,0.0,0.0,188.0,160.36049058256683,169.0
79,10.0,2.0,86.0,0.0,0.0,165.0,160.36049058256683,213.0
80,13.0,1.0,47.0,1.0,0.0,181.0,7.0,208.0
81,13.0,1.0,32.0,1.0,0.0,155.0,6.0,164.0
82,14.0,1.0,33.0,0.0,0.0,130.0,8.0,267.0
83,10.0,3.0,31.0,0.0,0.0,83.0,4.0,15.0
84,13.0,11.0,114.0,79.0,0.0,31.0,1.0,9.0
85,16.0,16.0,19.0,1.0,1.0,2.0,31.0,603.3206537460227
86,1.0,2.0,60.0,0.0,0.0,88.0,1.0,385.0
87,9.0,1.0,31.0,0.0,2.0,44.0,1.0,37.0
88,7.0,2.0,29.0,0.0,3.0,28.0,5.0,603.3206537460227
89,0.0,5.0,13.0,0.0,0.0,64.0,33.670360110803315,128.0
90,1.0,3.9464831804281344,5.0,0.0,0.0,62.0,33.670360110803315,12.0
91,3.0,1.0,13.0,5.0,0.0,53.0,33.670360110803315,255.05136612021855
92,2.0,3.9464831804281344,6.0,6.0,0.0,30.0,33.670360110803315,41.0
93,2.0,1.0,38.0,1.0,0.0,49.0,1.0,23.0
94,0.0,1.0,16.0,0.0,0.0,48.0,33.670360110803315,6.0
95,25.0,3.0,12.0,7.0,2.0,6.0,160.36049058256683,3499.0
96,54.0,9.0,33.0,19.0,5.0,8.0,4.0,204.0
97,50.0,15.0,254.0,223.0,1.0,77.0,10.0,2062.0
98,24.0,8.0,424.0,404.0,1.0,72.0,14.0,158.0
99,15.0,4.0,169.0,150.0,0.0,69.0,11.0,4700.0
100,25.0,18.0,356.0,315.0,1.0,373.0,7.0,1556.0
101,20.0,32.0,72.0,39.0,1.0,396.0,7.0,603.3206537460227
102,30.0,24.0,31.0,7.0,2.0,534.0,160.36049058256683,2851.0
103,20.0,8.0,58.0,36.0,0.0,649.0,5.0,4640.0
104,15.0,7.0,67.0,44.0,0.0,519.0,11.0,827.0
105,1.0,2.0,34.0,0.0,0.0,59.0,3.0,37.0
106,5.0,5.0,54.0,0.0,0.0,63.0,2.0,78.0
107,4.0,5.0,61.0,0.0,1.0,86.0,2.0,107.0
108,1.0,2.0,41.0,4.0,0.0,98.0,160.36049058256683,180.0
109,6.0,6.0,42.0,4.0,0.0,89.0,6.0,38.0
110,8.0,10.0,45.0,0.0,1.0,92.0,2.0,138.0
111,5.0,9.0,18.0,2.0,1.0,56.0,160.36049058256683,2.0
112,3.0,7.719370860927152,5.0,2.0,0.0,38.0,160.36049058256683,39.0
113,3.0,7.719370860927152,4.0,0.0,0.0,53.0,1.0,7.0
114,1.0,1.0,9.0,0.0,0.0,43.0,160.36049058256683,28.0
115,1.0,1.0,21.0,0.0,0.0,47.0,160.36049058256683,57.0
116,1.0,1.0,20.0,0.0,0.0,37.0,160.36049058256683,11.0
117,1.0,2.0,11.0,0.0,0.0,39.0,160.36049058256683,19.0
118,1.0,7.719370860927152,17.0,1.0,0.0,28.0,2.0,43.0
119,2.0,7.719370860927152,15.0,0.0,0.0,41.0,160.36049058256683,64.0
120,4.0,7.719370860927152,12.0,0.0,1.0,34.0,160.36049058256683,2.0
121,7.0,7.719370860927152,13.0,1.0,1.0,167.0,160.36049058256683,190.0
122,6.0,2.0,6.0,1.0,1.0,76.0,160.36049058256683,347.0
123,13.0,1.0,52.0,38.0,2.0,110.0,4.0,442.0
124,35.0,2.0,103.0,61.0,2.0,118.0,6.0,143.0
125,26.0,2.0,31.0,9.0,3.0,95.0,160.36049058256683,37.0
126,40.0,9.0,1193.0,1164.0,1.0,127.0,2.0,12635.0
127,39.0,8.0,940.0,909.0,1.0,99.0,17.0,5908.0
128,39.0,7.0,724.0,696.0,1.0,113.0,7.0,7870.0
129,43.0,22.0,296.0,229.0,2.0,497.0,12.0,1058.0
130,35.0,8.0,83.0,47.0,2.0,170.0,7.0,603.3206537460227
131,31.0,5.0,16.0,2.0,2.0,167.0,160.36049058256683,603.3206537460227
132,45.0,21.0,54.0,10.0,2.0,259.0,160.36049058256683,6107.0
133,55.0,34.0,229.0,188.0,2.0,363.0,26.0,1461.0
134,20.0,8.0,20.0,2.0,4.0,332.0,25.0,603.3206537460227
135,22.0,15.0,26.0,3.0,3.0,290.0,160.36049058256683,603.3206537460227
136,18.0,13.0,56.0,2.0,1.0,473.0,15.0,871.0
137,12.0,4.0,21.0,2.0,0.0,279.0,30.0,89.0
138,12.0,2.0,38.0,2.0,0.0,248.0,5.0,352.0
139,12.0,2.0,63.0,0.0,1.0,231.0,25.0,733.0
140,7.0,3.0,49.0,0.0,0.0,167.0,325.0,989.0
141,14.0,20.0,104.0,5.0,1.0,403.0,160.36049058256683,603.3206537460227
142,18.0,28.0,99.0,8.0,2.0,217.0,160.36049058256683,726.0
143,11.0,6.0,36.0,6.0,1.0,195.0,64.0,15.0
144,8.0,4.0,30.0,0.0,0.0,198.0,1.0,27.0
145,8.0,2.0,20.0,1.0,2.0,114.0,160.36049058256683,85.0
146,6.0,7.719370860927152,25.0,0.0,0.0,118.0,160.36049058256683,526.0
147,15.0,4.0,30.0,0.0,0.0,194.0,4.0,599.0
148,5.0,5.0,35.0,0.0,0.0,251.0,3.0,617.0
149,4.0,1.0,34.0,1.0,1.0,214.0,2.0,22.0
150,9.0,7.719370860927152,22.0,0.0,1.0,198.0,160.36049058256683,570.0
151,7.0,5.0,117.0,0.0,7.0,253.0,1.0,339.0
152,2.0,3.0,54.0,0.0,2.0,166.0,2.0,7.0
153,2.0,1.0,47.0,0.0,2.0,140.0,160.36049058256683,228.0
154,2.0,7.0,50.0,1.0,1.0,150.0,6.0,5.0
155,3.0,10.0,31.0,0.0,0.0,146.0,160.36049058256683,298.0
156,8.0,22.0,46.0,2.0,0.0,155.0,21.0,1369.0
157,8.0,14.0,30.0,13.0,0.0,111.0,12.0,3.0
158,7.0,11.0,25.0,10.0,2.0,83.0,160.36049058256683,728.0
159,6.0,16.0,61.0,44.0,3.0,32.0,17.0,1642.0
160,8.0,5.0,9.0,2.0,4.0,80.0,6.0,5.0
161,6.0,7.719370860927152,30.0,0.0,0.0,24.0,160.36049058256683,28.0
162,3.0,1.0,25.0,0.0,1.0,43.0,1.0,603.3206537460227
163,3.0,7.719370860927152,18.0,0.0,3.0,45.0,160.36049058256683,65.0
164,3.0,2.0,38.0,2.0,0.0,67.0,1.0,88.0
165,2.0,3.0,63.0,2.0,0.0,68.0,2.0,73.0
166,2.0,2.0,62.0,0.0,0.0,54.0,160.36049058256683,92.0
167,1.0,7.719370860927152,61.0,0.0,0.0,54.0,2.0,53.0
168,2.0,1.0,35.0,0.0,0.0,50.0,1.0,52.0
169,6.0,1.0,33.0,0.0,2.0,37.0,160.36049058256683,603.3206537460227
170,5.0,1.0,27.0,0.0,2.0,36.0,160.36049058256683,81.0
171,4.0,2.0,30.0,0.0,2.0,53.0,160.36049058256683,56.0
172,2.0,7.719370860927152,13.0,0.0,0.0,81.0,2.0,388.0
173,2.0,7.719370860927152,10.0,0.0,0.0,85.0,1.0,9.0
174,2.0,2.0,30.0,0.0,0.0,80.0,160.36049058256683,105.0
175,0.0,1.0,43.0,0.0,0.0,85.0,160.36049058256683,44.0
176,1.0,3.0,10.0,1.0,0.0,71.0,33.670360110803315,42.0
177,3.0,3.9464831804281344,28.0,0.0,0.0,32.0,1.0,9.0
178,3.0,1.0,16.0,0.0,0.0,44.0,33.670360110803315,22.0
179,29.0,7.719370860927152,470.0,470.0,2.0,4.0,4.0,892.0
180,47.0,1.0,481.0,475.0,2.0,5.0,23.0,603.3206537460227
181,50.0,13.0,99.0,72.0,3.0,7.0,160.36049058256683,1901.0
182,38.0,16.0,340.0,316.0,1.0,10.0,54.0,628.0
183,23.0,27.0,91.0,55.0,0.0,21.0,9.0,4909.0
184,26.0,34.0,412.0,353.0,1.0,65.0,20.0,1319.0
185,28.0,16.0,137.0,95.0,1.0,96.0,8.0,978.0
186,16.0,7.0,67.0,45.0,0.0,91.0,1.0,618.0
187,28.0,13.0,83.0,15.0,2.0,132.0,1.0,2788.0
188,12.0,1.0,90.0,72.0,0.0,195.0,12.0,3160.0
189,13.0,2.0,61.0,45.0,0.0,261.0,76.0,30.0
190,11.0,21.0,126.0,9.0,1.0,102.0,1.0,90.0
191,9.0,14.0,40.0,7.0,0.0,151.0,11.0,603.3206537460227
192,13.0,7.719370860927152,22.0,1.0,1.0,144.0,160.36049058256683,1.0
193,6.0,1.0,45.0,1.0,0.0,127.0,6.0,706.0
194,4.0,1.0,34.0,0.0,0.0,154.0,2.0,24.0
195,5.0,1.0,23.0,0.0,0.0,163.0,2.0,518.0
196,11.0,2.0,27.0,0.0,0.0,224.0,9.0,370.0
197,8.0,10.0,42.0,0.0,1.0,206.0,3.0,1075.0
198,10.0,1.0,6.0,0.0,0.0,184.0,160.36049058256683,603.3206537460227
199,11.0,14.0,15.0,0.0,0.0,181.0,6.0,603.3206537460227
200,13.0,14.0,39.0,1.0,1.0,187.0,1.0,1129.0
201,11.0,2.0,25.0,0.0,0.0,131.0,5.0,106.0
202,12.0,7.719370860927152,24.0,0.0,0.0,151.0,160.36049058256683,14.0
203,4.0,1.0,21.0,0.0,1.0,29.0,160.36049058256683,101.0
