index_seg,d_btw_cntr_SgAsEg,ud_bridge_SgAsEg,ud_btw_cntr_SgAsEg
463,50272.1071484,0.0,42033.2744732
464,57753.4666259,0.0,47753.8469212
465,187279.118749,0.0,121500.64321
466,188858.833002,0.0,131229.318502
467,108331.536383,0.0,105063.090576
468,110671.065431,0.0,99090.7146762
469,77425.7903851,0.0,53604.6463797
470,24286.7243331,0.0,8676.69720668
471,34160.6896321,0.0,22034.8429484
472,19139.0893473,0.0,19918.7278448
473,15634.0724805,0.0,12770.6715339
474,17964.46053,0.0,16638.9718253
475,5144.02704607,0.0,4322.52648606
476,22114.3158357,0.0,20414.7970599
477,4639.10641018,0.0,3285.35917751
478,14732.5269844,0.0,17917.6896031
479,13299.0890463,0.0,5531.46560795
480,5964.64358235,0.0,15673.5282621
481,7821.33915285,0.0,5304.1915772
482,9101.8869719,0.0,2638.06165015
483,39663.2909647,0.0,36793.162171
484,29166.3981411,0.0,30082.475133
485,30903.4693254,0.0,26815.8373243
486,17785.7864437,0.0,20697.4075941
487,12411.8765398,0.0,8991.25636064
488,2447.74516943,0.0,1872.04300091
489,26428.4317516,0.0,25784.192497
490,7593.82968201,0.0,7367.71595734
491,37205.3189941,0.0,36585.1965797
492,2492.53312319,0.0,3456.9895401
493,16934.0,1.0,17016.0
494,24097.9487274,0.0,31361.5071788
495,9010.68710259,0.0,4450.67030716
496,1266.43765917,0.0,1061.10405045
497,23771.6771775,0.0,4166.40215687
498,28943.7116998,0.0,14291.5905003
499,31222.3788642,0.0,12344.1008113
500,15350.5901627,0.0,7694.04861293
501,9042.07819032,0.0,7987.10258436
502,86548.033918,0.0,97401.7624347
503,133563.306455,0.0,185007.330577
504,196635.069659,0.0,221879.750148
505,219891.360213,0.0,230470.835684
506,151808.724432,0.0,164950.292513
507,94686.0602514,0.0,99561.9327377
508,68230.6843127,0.0,40922.9892579
509,7074.46327256,0.0,441093.134902
510,221640.249985,0.0,278152.996818
511,123117.284138,0.0,185650.695481
512,109629.04696,0.0,131004.97332
513,107688.879481,0.0,94346.3618271
514,109084.773783,0.0,75014.2012246
515,126802.724028,0.0,62659.2410374
516,106759.630716,0.0,49744.2949389
517,100209.087372,0.0,42273.2793198
518,98413.6965653,0.0,46981.0765631
519,98569.0269075,0.0,80332.3797069
520,358873.664477,0.0,274503.323668
521,84701.7255509,0.0,79669.0118997
522,67768.4501039,0.0,69376.7245251
523,57746.9286081,0.0,66597.3888789
524,41588.9106731,0.0,55646.840517
525,27251.5536338,0.0,48959.6863574
526,17923.5394565,0.0,17949.9641159
527,282037.611537,0.0,202669.123483
528,279680.053545,0.0,285515.5651
529,61787.520333,0.0,112157.425286
530,41188.3923766,0.0,39129.592691
531,26210.375056,0.0,17113.0229147
532,9706.24149646,0.0,14243.7976539
533,2286.81256913,0.0,59443.1819973
534,3425.56561087,0.0,7618.51950927
535,350913.114315,0.0,346331.884261
536,16934.0,1.0,17016.0
537,5562.84856862,0.0,5598.52926321
538,2122.37956554,0.0,2105.01530548
539,53335.1331147,0.0,78892.4035926
540,94804.5035933,0.0,90456.251621
541,43819.790305,0.0,48017.2013517
542,39636.0368303,0.0,40689.0399408
543,46513.3679975,0.0,47307.3805713
544,62042.2104627,0.0,56922.5853074
545,54458.4823987,0.0,48987.9982027
546,6872.76112157,0.0,6586.61344921
547,7627.99219755,0.0,7386.63452512
548,92380.5104018,0.0,72893.1075618
549,110495.76865,0.0,90791.8865675
550,170403.473038,0.0,130140.389972
551,149749.575897,0.0,158360.728501
552,95897.254001,0.0,90049.6358307
553,89398.5357494,0.0,74608.1216288
554,234818.655103,0.0,217044.614581
555,55362.4430869,0.0,47636.5481638
556,31044.0044518,0.0,21130.7093431
557,22066.7491414,0.0,29795.6394687
558,68280.9471259,0.0,75575.9635358
559,26778.8858611,0.0,36456.8906652
560,2768.12178841,0.0,3060.75976013
561,18144.283967,0.0,19762.2081783
562,7376.16376301,0.0,28078.4544097
563,1011.78291057,0.0,2312.51620688
564,41491.0704746,0.0,35337.7428054
565,908.927876183,0.0,553.977137502
566,23406.2821853,0.0,23498.7675001
567,263.232592532,0.0,255.818427089
568,51122.9692696,0.0,51595.8913217
569,38200.5429455,0.0,38551.0560166
570,16934.0,1.0,17016.0
571,307208.137162,0.0,219206.683544
572,226919.039792,0.0,171002.421868
573,172884.043666,0.0,68042.9584103
574,150272.647825,0.0,32128.7034792
575,140968.303973,0.0,20011.8556608
576,143922.085446,0.0,14924.2040464
577,273426.825257,0.0,89801.9162134
578,318212.665173,0.0,70322.7281387
579,146449.525436,0.0,67579.4459907
580,136163.508469,0.0,32453.5203704
581,116144.545089,0.0,148585.683888
582,102149.258074,0.0,176933.335501
583,71555.6365875,0.0,113677.15849
584,50868.7089774,0.0,80035.8734065
585,4530.43035434,0.0,13935.4906882
586,11192.5766397,0.0,19618.4483004
587,7566.24688541,0.0,7955.09812851
588,6384.78557278,0.0,8539.43627525
589,19386.4532114,0.0,12977.4364223
590,21583.1638913,0.0,20450.2703332
591,20979.7018513,0.0,18645.0678022
592,29085.6388265,0.0,29202.7004337
593,21537.940765,0.0,41747.3382155
594,56518.2658837,0.0,54606.0882895
595,34371.4214312,0.0,23792.4362546
596,29189.7519549,0.0,23378.3883951
597,64806.5975076,0.0,16620.8512573
598,64663.6500861,0.0,20369.8846462
599,67870.6231274,0.0,20124.6071369
600,73102.647316,0.0,23106.2986761
601,29469.4851233,0.0,8872.51065706
602,43428.0189982,0.0,19166.1694158
603,32143.2820769,0.0,19878.947026
604,19177.391743,0.0,5464.42461514
605,18578.4819184,0.0,9526.60464874
606,29416.6492764,0.0,14626.5350277
607,89972.111884,0.0,81204.1523256
608,127897.422883,0.0,118980.185001
609,148323.591282,0.0,143399.13024
610,164104.322804,0.0,160603.849533
611,161602.233324,0.0,151601.712596
612,177699.882782,0.0,205434.939225
613,161803.680578,0.0,92196.2780217
614,279406.606372,0.0,195124.327428
615,166065.798858,0.0,102311.768859
616,63339.5004,0.0,28478.9435435
617,104262.724478,0.0,219185.347895
618,80647.0390148,0.0,100056.072963
619,86047.8366169,0.0,79352.8362077
620,90385.6488509,0.0,83289.4831844
621,127186.732122,0.0,115527.036078
622,129606.550712,0.0,126898.134677
623,248625.415164,0.0,310540.96977
624,359321.14229,0.0,450310.211824
625,414685.582922,0.0,554233.975106
626,590133.808282,0.0,258804.052783
627,805199.490662,0.0,573694.503159
628,504313.756062,0.0,548909.052424
629,303955.495178,0.0,181200.188172
630,108887.110201,0.0,79394.4967464
631,34734.441226,0.0,33053.1364147
632,31551.5493969,0.0,27072.8621818
633,31325.657987,0.0,29592.9796264
634,48316.3423153,0.0,40790.931631
635,65297.0323885,0.0,55301.834052
636,64087.9835002,0.0,61203.4724304
637,86239.0910518,0.0,82980.5595501
638,115376.736445,0.0,107181.861774
639,163063.443792,0.0,153848.187675
640,300148.237861,0.0,297246.791016
641,295645.608399,0.0,253801.891724
642,347968.580676,0.0,315683.6717
643,280003.8165,0.0,255103.26169
644,25629.1521277,0.0,31955.6131947
645,5517.75029065,0.0,4523.31378928
646,224607.70046,0.0,236555.447226
647,77299.6761185,0.0,20373.9110629
648,59087.5747734,0.0,21280.8887853
649,59613.2678493,0.0,16655.8158862
650,80792.2694233,0.0,38693.6794475
651,39472.4848127,0.0,12744.7698526
652,45946.2938749,0.0,14900.6083217
653,49832.1265751,0.0,15320.8867171
654,46533.4377894,0.0,10524.7249503
655,35124.6188163,0.0,15440.8418488
656,14588.5017803,0.0,8087.63698112
657,100684.69342,0.0,74647.2727288
658,104958.604634,0.0,67988.0412867
659,91603.5578718,0.0,43752.7937223
660,128843.612101,0.0,48702.6391455
661,126773.91253,0.0,85531.473954
662,93557.3117995,0.0,105580.474532
663,48451.9476995,0.0,19634.989229
664,46522.6420934,0.0,23245.0858463
665,56562.2412267,0.0,76760.4422164
666,22867.8976658,0.0,10237.7858804
667,20466.8126376,0.0,10865.5544569
668,22930.061529,0.0,11969.3968203
669,42316.14629,0.0,49791.2041169
670,29666.7708248,0.0,68263.3007866
671,12600.6981235,0.0,13283.4988787
672,18496.4974431,0.0,14076.3990036
673,11742.3353607,0.0,6395.17997961
674,5244.57311972,0.0,12238.0328237
675,24925.5253389,0.0,21023.4384051
676,16402.6326184,0.0,15061.7945382
677,13029.5244468,0.0,8371.96057525
678,30343.5714629,0.0,31457.3360043
679,4815.14024561,0.0,6595.32536337
680,27848.7111358,0.0,29905.5458542
681,28036.0996664,0.0,73072.1256388
682,35738.4705263,0.0,11740.8984169
683,163919.920394,0.0,100980.045494
684,137125.736911,0.0,82656.0579375
685,36598.2065463,0.0,48801.9656547
686,225933.631279,0.0,448912.427803
687,75725.818739,0.0,93823.37275
688,38616.6591416,0.0,48827.7379349
689,61119.8029369,0.0,74000.145779
690,33462.8832499,0.0,34080.2879708
691,13998.5904928,0.0,13711.2992063
692,26733.6933704,0.0,28568.6754304
693,2212.90613469,0.0,2362.6373645
694,5958.91026519,0.0,5948.52776065
695,32349.909699,0.0,32506.7768051
696,2323.73506991,0.0,2263.78987184
697,7061.10590941,0.0,7039.37661743
698,2422.76032424,0.0,2336.69155633
699,48305.6769285,0.0,43471.3042295
700,134705.207385,0.0,122161.106328
701,23040.1134624,0.0,23439.2063298
702,13116.4259036,0.0,13328.4850977
703,1582.39482304,0.0,1509.18698706
704,5722.22323609,0.0,5675.00943279
705,13683.6624093,0.0,13609.5432545
706,3428.61840958,0.0,3390.97636583
707,15997.9336159,0.0,16071.01058
708,16934.0,1.0,17016.0
709,16934.0,1.0,17016.0
710,31495.3893192,0.0,28688.6973912
711,19520.9940748,0.0,18827.0199017
712,31183.6459572,0.0,28811.926685
713,191687.588961,0.0,193613.4714
714,5402.2497123,0.0,1859.25425067
