,index_seg,art,outdoors and recreation,retail shop,professional service,food,nightlife spot,residence,schools&university,cycling facilities,transportation,poi_total
11247,12167,0,0,0,1,0,0,0,0,1,2,4
11248,12168,0,0,0,1,0,0,0,0,0,0,1
11249,12169,0,0,0,1,0,0,0,0,0,0,1
11250,12170,0,0,0,1,0,0,0,0,0,0,1
11251,12171,0,0,0,1,0,0,0,0,0,1,2
11252,12172,0,0,0,1,0,0,0,0,0,0,1
11253,12173,0,0,0,1,0,0,0,0,0,0,1
11254,12174,4,2,0,3,1,0,0,0,29,5,44
11255,12175,0,2,0,6,0,0,0,0,25,6,39
11256,12176,0,0,0,2,0,0,0,0,11,2,15
11257,12177,0,0,4,2,2,0,2,0,2,0,12
11258,12178,0,0,0,0,0,0,0,0,2,0,2
11259,12179,0,1,0,1,0,0,0,0,0,6,8
11260,12180,0,1,0,2,0,0,0,0,0,3,6
11261,12181,0,0,0,1,0,0,0,0,0,5,6
11262,12182,0,0,0,1,1,0,0,0,0,4,6
11263,12183,0,0,0,1,0,0,0,0,0,2,3
11264,12184,0,0,0,1,0,0,0,0,0,2,3
11265,12185,0,1,0,1,0,0,0,0,0,0,2
11266,12186,0,0,0,1,0,0,0,0,0,0,1
11267,12187,0,0,0,1,0,0,0,0,0,0,1
11268,12188,0,0,0,1,0,0,0,0,0,1,2
11269,12189,0,0,0,0,0,0,0,0,2,3,5
11270,12190,0,0,0,0,0,0,0,0,2,3,5
11271,12191,0,0,0,0,0,0,0,0,0,2,2
11272,12192,0,0,0,0,0,0,0,0,0,2,2
11273,12193,0,0,0,1,0,0,0,0,0,0,1
11274,12194,0,0,0,0,0,0,0,0,4,4,8
11275,12195,0,0,1,0,0,0,0,0,6,4,11
11276,12196,0,0,0,1,0,0,0,0,5,5,11
11277,12197,0,0,0,1,0,0,0,0,9,2,12
11278,12198,0,0,0,0,0,0,0,0,1,4,5
11279,12199,0,0,0,0,0,0,0,0,4,6,10
11280,12200,0,0,0,1,0,0,0,0,4,3,8
11281,12201,1,3,0,1,0,0,0,0,32,0,37
11282,12202,0,2,0,0,0,0,0,0,14,0,16
11283,12205,0,0,0,0,0,0,0,0,1,1,2
11284,12207,0,0,0,0,0,0,0,0,1,1,2
11285,12208,0,0,0,0,0,0,0,0,3,1,4
11286,12209,0,0,0,0,0,0,0,0,1,1,2
11287,12210,0,0,0,0,0,0,0,0,1,1,2
11288,12211,0,1,3,0,1,0,0,0,10,13,28
11289,12212,0,0,0,0,0,0,1,0,2,6,9
11290,12213,0,0,0,2,0,0,0,0,0,3,5
11291,12214,0,1,0,1,0,0,0,0,0,4,6
11292,12215,0,0,0,1,0,0,0,0,0,4,5
11293,12216,0,0,0,0,0,0,0,1,0,1,2
11294,12217,0,3,0,0,0,0,0,0,0,1,4
11295,12218,0,0,0,1,0,0,0,0,0,7,8
11296,12219,0,0,0,1,0,0,0,0,0,5,6
11297,12220,0,24,0,1,0,0,0,0,6,6,37
11298,12221,0,24,0,1,0,0,0,0,4,5,34
11299,12223,0,0,0,0,0,0,0,0,0,3,3
11300,12224,0,0,0,1,0,0,0,0,0,2,3
11301,12225,0,5,0,0,0,0,0,0,0,1,6
11302,12226,0,0,0,0,0,0,0,0,0,1,1
11303,12227,0,0,0,0,0,0,0,0,0,1,1
11304,12228,0,0,0,0,0,0,0,0,0,5,5
11305,12229,0,0,0,0,0,0,0,0,0,2,2
11306,12230,0,0,0,0,0,0,1,0,0,2,3
11307,12232,0,0,0,1,0,0,0,0,0,8,9
11308,12233,0,1,0,1,0,0,0,1,11,2,16
11309,12234,0,0,0,1,0,0,0,0,0,7,8
11310,12235,0,1,0,1,0,0,0,0,0,5,7
11311,12236,0,0,0,1,0,0,0,0,0,5,6
11312,12237,0,1,0,1,0,0,0,0,0,0,2
11313,12238,0,0,0,1,0,0,0,0,0,0,1
11314,12239,0,0,0,0,0,0,0,0,0,1,1
11315,12240,0,0,0,0,0,0,0,0,1,2,3
11316,12241,0,0,0,0,0,0,0,0,2,3,5
11317,12242,0,0,0,2,0,0,0,0,0,2,4
11318,12243,0,0,0,2,0,0,0,0,0,1,3
11319,12244,0,0,0,0,0,0,1,0,1,1,3
11320,12245,0,0,0,0,0,0,1,0,0,1,2
11321,12246,0,1,0,0,0,0,0,1,1,0,3
11322,12247,0,0,0,0,0,0,1,0,0,0,1
11323,12248,0,0,0,0,0,0,0,0,0,6,6
11324,12249,0,2,1,0,0,0,0,0,2,4,9
11325,12250,0,3,1,0,0,0,0,3,1,2,10
11326,12251,0,0,0,2,0,0,0,1,1,1,5
11327,12252,0,0,0,0,0,0,0,1,0,0,1
11328,12253,0,0,0,0,0,0,1,0,0,0,1
11329,12254,0,0,0,0,0,0,1,0,0,0,1
11330,12255,1,14,0,0,0,0,0,0,10,0,25
11331,12256,0,4,1,4,0,0,0,0,26,7,42
11332,12257,1,2,0,2,0,0,0,0,17,6,28
11333,12258,0,1,2,0,0,0,1,1,13,7,25
11334,12259,0,0,4,1,1,0,0,1,12,8,27
11335,12260,1,2,2,0,1,0,0,1,10,9,26
11336,12261,0,2,0,2,0,2,0,0,10,6,22
11337,12262,0,1,1,2,0,2,0,0,10,6,22
11338,12263,0,1,1,0,0,1,0,0,11,4,18
11339,12264,0,1,0,0,0,0,0,0,9,1,11
11340,12265,0,2,1,1,1,0,0,0,11,1,17
11341,12266,0,1,1,1,0,0,0,0,9,1,13
11342,12267,0,1,0,0,0,0,0,0,5,1,7
11343,12268,0,1,0,0,0,0,0,0,5,0,6
11344,12269,1,1,0,0,2,0,0,0,4,0,8
11345,12270,0,1,1,0,0,0,0,0,9,0,11
11346,12271,0,1,0,0,0,0,1,0,5,0,7
11347,12272,0,1,0,0,0,0,1,0,5,0,7
11348,12273,0,0,0,0,0,0,0,0,0,1,1
11349,12274,0,2,0,0,0,0,0,1,0,1,4
11350,12275,0,0,1,0,0,0,0,0,0,1,2
11351,12278,0,0,0,0,0,0,2,0,0,3,5
11352,12279,0,0,0,0,0,0,1,0,0,3,4
11353,12280,0,1,0,0,0,0,0,1,1,0,3
11354,12281,0,2,0,0,0,0,0,2,1,2,7
11355,12282,0,1,0,0,0,0,0,1,0,0,2
11356,12283,0,0,0,1,0,0,0,0,2,3,6
11357,12284,0,1,1,7,4,0,0,0,5,3,21
11358,12285,0,4,0,0,0,0,0,1,0,2,7
11359,12286,0,3,0,0,0,0,0,0,0,3,6
