index_seg,d_auth_score_SgAsNd,d_btw_cntr_SgAsNd,d_clo_cntr_SgAsNd,d_far_cntr_SgAsNd,d_hub_score_SgAsNd,d_in_deg_SgAsNd,d_node_ecc_SgAsNd,d_out_deg_SgAsNd,d_page_rank_SgAsNd,ud_art_pt_SgAsNd,ud_auth_score_SgAsNd,ud_bridge_SgAsNd,ud_btw_cntr_SgAsNd,ud_clo_cntr_SgAsNd,ud_deg_cntr_SgAsNd,ud_eig_cntr_SgAsNd,ud_far_cntr_SgAsNd,ud_hub_score_SgAsNd,ud_node_ecc_SgAsNd,ud_page_rank_SgAsNd
10,0.0,0.0,0.0278522851924,35.9036967018,3.56312974856e-28,0.0,62.0,7.39809129245e-05,1.11795376177e-05,,2.72386963405e-09,1.0,0.0,0.0308372363007,7.39809129245e-05,1.37962964215e-11,32.4283275663,1.90299495348e-09,59.0,2.65641905064e-05
11,9.88055021271e-06,1006.05587155,0.0231811623148,43.1384753888,1.38843552513e-05,0.000147961825849,89.0,7.39809129245e-05,2.74281974052e-05,,6.23185710847e-07,,3877.42742627,0.025093499972,0.000221942738773,1.404895797e-08,39.8509574637,4.80560255835e-07,84.0,4.71384702991e-05
12,1.35965820176e-05,205994.678813,0.0232783591447,42.9583543146,1.15584930829e-05,0.000295923651698,91.0,0.000295923651698,6.91816531739e-05,,2.36393038852e-07,,153254.571022,0.0243008542001,0.000295923651698,4.51870430468e-09,41.1508168299,1.79131633843e-07,87.0,5.90464173992e-05
13,5.18627660816e-07,0.0,0.0282649146552,35.3795513695,4.03311327282e-07,0.000147961825849,61.0,0.000147961825849,4.07453557298e-05,,2.81862932583e-09,,0.0,0.0310054936969,0.000147961825849,1.19443691412e-11,32.252348883,1.91630578868e-09,58.0,3.8620926846e-05
14,5.20985302933e-24,6732.5,0.0270917912761,36.9115496944,7.89888078436e-25,0.000147961825849,63.0,7.39809129245e-05,3.95312895146e-05,1.0,2.70601495367e-09,1.0,13514.0,0.0311661780112,0.000221942738773,1.48669319118e-11,32.0860645678,1.90338855766e-09,59.0,6.99690656309e-05
15,1.21520809194e-06,12701.8232481,0.0285516020937,35.0243043006,1.04074311872e-06,0.000147961825849,62.0,0.000221942738773,3.78978255479e-05,,3.34755311534e-09,,27176.3188119,0.0297590084058,0.000221942738773,2.1246196642e-11,33.6032701884,2.32193375794e-09,62.0,5.34355174954e-05
16,0.00161107756139,27741.0793165,0.0239745334382,41.7109264119,0.00140587704356,0.000517866390471,88.0,0.000517866390471,0.000102143076063,,1.03189072965e-05,,15819.6439546,0.0256635728371,0.000517866390471,2.68988585993e-07,38.9657358447,8.08140146991e-06,83.0,8.57058837539e-05
17,0.00142605229121,34114.2641546,0.0245166385388,40.7886259945,0.00125742968209,0.000443885477547,87.0,0.000443885477547,9.26168657722e-05,,1.15851697816e-05,,17796.9359364,0.0259345203677,0.000443885477547,3.02899472284e-07,38.5586463842,9.07663895035e-06,83.0,7.31676267616e-05
18,0.0011172882966,70278.361007,0.0245252005236,40.7743862904,0.000985002777802,0.000443885477547,87.0,0.000443885477547,8.77613617398e-05,,1.1013737234e-05,,44371.5474815,0.025942038457,0.000443885477547,2.86409600303e-07,38.5474719598,8.62402074274e-06,83.0,7.3167458069e-05
19,0.000579819747299,52560.7607432,0.0245627914774,40.7119850739,0.000530377884885,0.000369904564622,88.0,0.000443885477547,6.64239307509e-05,,7.30688325347e-06,,35865.4332382,0.0257894973518,0.000443885477547,1.85698762425e-07,38.7754746189,5.70703955434e-06,84.0,7.46574378901e-05
20,0.000224585011301,145004.087733,0.0243220553388,41.1149463346,0.000220232592802,0.000369904564622,89.0,0.000443885477547,6.1372294813e-05,,4.26483706683e-06,,11649.9782799,0.0254271419086,0.000443885477547,1.0311552112e-07,39.3280536048,3.3132636345e-06,85.0,7.59027877694e-05
21,0.000131260181803,228334.960288,0.0240288206193,41.6166908831,0.000110230446852,0.000443885477547,89.0,0.000443885477547,7.28018401569e-05,,2.54517548845e-06,,223401.027292,0.0252064479408,0.000443885477547,5.87605723703e-08,39.672388682,1.967761936e-06,85.0,7.72407637481e-05
22,7.51045577286e-05,431023.982894,0.0237893979657,42.0355320232,6.43696309949e-05,0.000443885477547,90.0,0.000443885477547,7.43909623408e-05,,1.22583791944e-06,,426601.940858,0.0248523174945,0.000443885477547,2.68583770992e-08,40.2376961513,9.42581696643e-07,86.0,7.92569782515e-05
