index_seg,poi_total,crash_total,311_total,311_total_not_parking_meter,v0_total,crime_total,moving_total,parking_total,poi_total_neighbor,crash_total_neighbor,311_total_neighbor,311_total_not_parking_meter_neighbor,v0_total_neighbor,crime_total_neighbor,parking_total_neighbor
680,9.0,8.0,57.0,29.0,1.0,184.0,26.0,603.3206537460227,19.25,10.0,46.375,7.75,0.625,244.375,722.7900817182527
681,27.0,14.0,57.0,9.0,1.0,200.0,11.0,175.0,17.875,11.125,47.0,10.625,0.75,264.375,1007.0400817182527
682,12.0,4.0,24.0,3.0,0.0,217.0,22.0,148.0,20.166666666666668,12.666666666666664,49.66666666666666,10.666666666666666,1.0,267.6666666666667,939.7201089576704
683,21.0,16.0,35.0,0.0,4.0,250.0,9.0,416.0,23.83333333333333,21.166666666666668,68.0,6.666666666666668,1.3333333333333333,341.6666666666667,2551.333333333333
684,5.0,3.0,5.0,0.0,0.0,36.0,160.36049058256683,603.3206537460227,5.666666666666668,6.35582560918458,19.33333333333333,0.4444444444444444,0.0,90.55555555555556,241.03562819400253
685,6.0,7.719370860927152,27.0,0.0,0.0,51.0,1.0,88.0,4.7,5.320243048266122,15.8,0.4,0.2,101.7,336.1961961238068
686,7.0,7.719370860927152,29.0,0.0,0.0,35.0,160.36049058256683,2.0,4.928571428571429,6.8315123003225375,18.285714285714285,1.7142857142857142,0.35714285714285715,134.71428571428572,310.21156865986205
687,4.0,1.0,24.0,0.0,0.0,38.0,2.0,69.0,4.6923076923076925,7.236916455874603,20.0,1.5384615384615383,0.4615384615384616,159.76923076923075,249.61245855677447
688,4.0,7.719370860927152,22.0,0.0,0.0,37.0,160.36049058256683,9.0,5.5,6.743204354665887,18.214285714285715,1.5,0.5714285714285714,165.5,247.8544258027192
689,5.0,1.0,22.0,0.0,0.0,38.0,160.36049058256683,39.0,5.125,6.268614207886169,12.75,0.5,0.5,152.75,231.16508171825282
690,3.0,2.0,13.0,0.0,0.0,38.0,3.0,13.0,6.0,4.416463510338822,13.0,0.25,0.25,81.25,165.5
691,3.0,7.719370860927152,13.0,0.0,0.0,40.0,160.36049058256683,10.0,7.0,5.333170808271059,11.6,0.2,0.2,117.0,193.8
692,4.0,7.719370860927152,9.0,0.0,0.0,31.0,160.36049058256683,67.0,5.5,5.416463510338824,13.25,0.0,0.0,145.0,153.75
693,4.0,7.719370860927152,22.0,0.0,0.0,36.0,160.36049058256683,12.0,4.5,2.986620795107034,15.5,0.0,0.0,105.25,312.8301634365057
694,6.0,2.0,5.0,0.0,0.0,17.0,160.36049058256683,603.3206537460227,7.571428571428571,6.606580810484799,9.857142857142858,0.0,0.14285714285714285,30.857142857142854,217.44242421935658
695,5.0,7.719370860927152,0.0,0.0,0.0,14.0,160.36049058256683,8.0,8.333333333333334,4.221951347118429,10.666666666666666,0.0,0.0,13.0,286.4573399554137
696,5.0,7.719370860927152,1.0,0.0,0.0,14.0,160.36049058256683,603.3206537460227,5.0,5.949606788079469,11.75,0.0,0.0,32.125,53.329946319018404
697,5.0,7.719370860927152,3.0,0.0,0.0,19.0,160.36049058256683,2.0,4.5555555555555545,5.399650478292863,14.444444444444445,0.0,0.1111111111111111,35.77777777777778,121.44002492201888
