,index_seg,cycle_lane,is_shared,cycle_way,side_walk,bikable
1679,3145,,0,,both,
1680,3146,,0,,both,
1681,3147,,0,,both,
1682,3148,,0,,both,
1683,3149,,0,,both,
1684,3150,,0,,,yes
1685,3164,,0,,both,
1686,3172,,0,,both,
1687,3184,,0,,,yes
1688,3185,,0,,,yes
1689,3186,,0,,,yes
1690,3189,,0,,both,
1691,3190,,0,,both,
1692,3191,,0,,both,
1693,3192,,0,,both,
1694,3193,,0,,both,
1695,3194,,0,,both,
1696,3195,,0,,both,
1697,3196,,0,,both,
1698,3197,,0,,both,
1699,3204,,0,,,yes
1700,3206,,0,,,yes
1701,3207,,0,,both,yes
1702,3208,one,0,,,
1703,3209,one,0,,,
1704,3210,right,1,,,
1705,3211,one,0,,,
1706,3212,one,0,,,yes
1707,3213,,0,,both,
1708,3214,,0,,both,
1709,3216,,0,,,yes
1710,3223,,0,,both,
1711,3224,,0,,both,
1712,3225,,0,,both,
1713,3226,,0,,both,
1714,3227,,0,,both,
1715,3228,,0,,both,
1716,3229,,0,,both,
1717,3230,,0,,right,
1718,3234,,0,,both,
1719,3235,,0,,no,
1720,3250,,0,,no,
1721,3252,,0,,no,
1722,3253,,0,,no,
1723,3254,,0,,no,
1724,3255,,0,,both,
1725,3257,,0,,,yes
1726,3263,,0,,,yes
1727,3271,,0,,right,
1728,3272,,0,,right,
1729,3273,,0,,right,
1730,3274,,0,,right,
1731,3275,,0,,right,
1732,3276,,0,,right,
1733,3277,,0,,right,
1734,3279,,0,,right,
1735,3280,,0,,right,
1736,3281,,0,,right,
1737,3282,,0,,right,
1738,3283,,0,,right,
1739,3297,,0,,both,
1740,3298,,0,,both,
1741,3299,,0,,both,
1742,3312,,0,,both,
1743,3313,,0,,both,
1744,3314,,0,,both,
1745,3326,,0,,both,
1746,3327,,0,,both,
1747,3328,,0,,both,
1748,3329,,0,,both,
1749,3330,,0,,both,
1750,3331,,0,,both,
1751,3332,,0,,right,
1752,3333,,0,,right,
1753,3335,,0,,,yes
1754,3336,,0,,,yes
1755,3340,,0,,both,
1756,3341,,0,,both,
1757,3342,,0,,right,
1758,3343,,0,,both,
1759,3344,,0,,both,
1760,3345,,0,,both,
1761,3346,,0,,both,
1762,3347,,0,,both,
1763,3352,,0,,both,
1764,3353,,0,,both,
1765,3355,,0,,,yes
1766,3356,,0,,,yes
1767,3357,,0,,,yes
1768,3358,,0,,,yes
1769,3359,,0,,,yes
1770,3360,,0,,both,
1771,3361,,0,,both,
1772,3381,,0,,,yes
1773,3382,,0,,,yes
1774,3383,,0,,,yes
1775,3384,,0,,,yes
1776,3385,,0,,,yes
1777,3387,,0,,,yes
1778,3388,,0,,,yes
1779,3390,,0,,,yes
1780,3396,,0,,both,
1781,3397,,0,,both,
1782,3398,,0,,both,
1783,3399,,0,,both,
1784,3400,right,0,,,
1785,3401,,0,,both,
1786,3402,,0,,both,
1787,3403,,0,,both,
1788,3404,,0,,both,
1789,3405,,0,,both,
1790,3406,,0,,both,
1791,3407,,0,,both,
1792,3408,,0,,both,
1793,3409,,0,,left,
1794,3410,,0,,left,
1795,3411,,0,,left,
1796,3412,,0,,left,
1797,3413,,0,,both,
1798,3414,,0,,both,
1799,3415,,0,,both,
1800,3416,,0,,both,
1801,3417,,0,,both,
1802,3418,,0,,both,
1803,3419,,0,,both,
1804,3420,,0,,both,
1805,3421,,0,,both,
1806,3422,,0,,both,
1807,3423,,0,,both,
1808,3424,,0,,both,
1809,3425,,0,,both,
1810,3426,,0,,both,
1811,3427,,0,,no,
1812,3441,,0,,,yes
1813,3446,,0,,right,
1814,3447,,0,,right,
1815,3448,,0,,right,
1816,3449,,0,,right,
1817,3450,,0,,right,
1818,3451,,0,,no,
1819,3452,,0,,no,
1820,3453,,0,,no,
1821,3460,,0,,no,
1822,3465,,0,,no,
1823,3468,,0,,,yes
1824,3479,,0,,both,
1825,3483,,0,,both,yes
1826,3484,,0,,both,
1827,3505,,0,,both,
1828,3506,,0,,both,
1829,3507,,0,,both,
1830,3508,,0,,both,
1831,3509,,0,,both,
1832,3510,,0,,both,
1833,3511,,0,,both,
1834,3512,,0,,both,
1835,3513,,0,,both,
1836,3514,,0,,both,
1837,3515,,0,,both,
1838,3516,,0,,both,
1839,3517,,0,,both,
1840,3518,,0,,both,
1841,3519,,0,,both,
1842,3520,,0,,both,
1843,3526,,0,,,yes
1844,3537,,0,,both,
1845,3538,,0,,no,
1846,3539,,0,,no,
1847,3541,,0,,both,
1848,3542,,0,,both,
1849,3543,,0,,both,
1850,3544,,0,,both,
1851,3545,,0,,both,
1852,3546,,0,,both,
1853,3547,,0,,both,
1854,3556,,0,,both,
1855,3557,,0,,both,
1856,3558,,0,,both,
1857,3559,,0,,both,
1858,3560,,0,,both,
1859,3561,,0,,both,
1860,3562,,0,,both,
1861,3563,,0,,both,
1862,3564,,0,,both,
1863,3566,,0,,no,
1864,3567,,0,,no,
1865,3568,,0,,both,
1866,3580,,0,,both,
1867,3581,,0,,both,
1868,3582,,0,,both,
1869,3585,,0,,both,
1870,3586,,0,,both,
1871,3587,,0,,both,
1872,3588,,0,,both,
1873,3599,both,0,,,
1874,3600,both,0,,,
1875,3601,both,0,,,
1876,3602,both,0,,,
1877,3603,both,0,,,
1878,3604,both,0,,,yes
1879,3605,both,0,,,yes
1880,3606,both,0,,,yes
1881,3607,both,0,,,yes
1882,3608,both,0,,,yes
1883,3609,both,0,,,yes
1884,3610,both,0,,,yes
1885,3611,,0,,both,
1886,3612,,0,,both,
1887,3613,,0,,both,
1888,3614,,0,,both,
1889,3615,,0,,both,
1890,3616,,0,,both,
1891,3620,,0,,both,
1892,3621,,0,,both,
1893,3622,,0,,both,
1894,3647,,0,,,yes
1895,3650,both,0,,,
1896,3651,both,0,,,
