index_seg,poi_total,crash_total,311_total,311_total_not_parking_meter,v0_total,crime_total,moving_total,parking_total,crime_total_neighbor
72,7.0,3.0,21.0,0.0,3.0,175.0,17.0,41.0,191.66666666666663
73,3.0,7.719370860927152,25.0,0.0,0.0,160.0,20.0,973.0,203.57142857142856
74,6.0,1.0,35.0,0.0,0.0,187.0,44.0,21.0,191.0
75,30.0,3.0,42.0,0.0,2.0,181.0,1.0,236.0,196.72727272727272
76,27.0,14.0,37.0,0.0,3.0,170.0,6.0,603.3206537460227,192.27272727272728
77,22.0,19.0,19.0,0.0,1.0,196.0,160.36049058256683,603.3206537460227,197.63636363636363
78,9.0,7.719370860927152,26.0,0.0,0.0,188.0,160.36049058256683,169.0,199.22222222222226
79,10.0,2.0,86.0,0.0,0.0,165.0,160.36049058256683,213.0,187.0
80,13.0,1.0,47.0,1.0,0.0,181.0,7.0,208.0,170.28571428571428
81,13.0,1.0,32.0,1.0,0.0,155.0,6.0,164.0,158.0
82,14.0,1.0,33.0,0.0,0.0,130.0,8.0,267.0,129.66666666666666
83,10.0,3.0,31.0,0.0,0.0,83.0,4.0,15.0,111.66666666666669
84,13.0,11.0,114.0,79.0,0.0,31.0,1.0,9.0,0.0
85,16.0,16.0,19.0,1.0,1.0,2.0,31.0,603.3206537460227,0.0
86,1.0,2.0,60.0,0.0,0.0,88.0,1.0,385.0,86.0
87,9.0,1.0,31.0,0.0,2.0,44.0,1.0,37.0,48.36363636363637
88,7.0,2.0,29.0,0.0,3.0,28.0,5.0,603.3206537460227,43.88235294117647
89,0.0,5.0,13.0,0.0,0.0,64.0,33.670360110803315,128.0,63.5
90,1.0,3.9464831804281344,5.0,0.0,0.0,62.0,33.670360110803315,12.0,60.95
91,3.0,1.0,13.0,5.0,0.0,53.0,33.670360110803315,255.05136612021855,56.5
92,2.0,3.9464831804281344,6.0,6.0,0.0,30.0,33.670360110803315,41.0,50.27777777777778
