,poi_total_neighbor,crash_total_neighbor,311_total_neighbor,311_total_not_parking_meter_neighbor,v0_total_neighbor,crime_total_neighbor,moving_total_neighbor,parking_total_neighbor
5301,15.0,6.371937086092715,40.8,4.2,1.1,312.0,54.00814717477005,801.4
5302,16.333333333333332,6.226614238410594,37.0,0.5,1.0833333333333333,288.3333333333333,58.12016352752228,852.1666666666665
5303,22.818181818181817,6.636363636363638,40.54545454545455,1.181818181818182,1.3636363636363635,251.45454545454547,48.21459005296062,771.9090909090909
5304,24.30769230769231,5.973426573426575,35.692307692307686,2.0,3.7692307692307687,196.3076923076923,40.574081129625455,620.1142191142189
5305,23.363636363636363,9.150413223140497,57.0,21.727272727272727,5.090909090909091,230.72727272727272,9.463869463869463,964.0952660430268
5306,25.5,12.875,110.375,61.125,2.5,329.125,117.1453378355079,1781.625
5307,31.857142857142854,14.959910122989593,89.57142857142857,63.85714285714285,1.8571428571428568,248.28571428571428,91.4003160144995,1971.760093392289
5308,24.5,13.944444444444445,110.22222222222223,82.44444444444444,2.4444444444444446,531.9444444444445,55.564594593559065,1044.507008665383
5309,22.777777777777782,9.833333333333334,102.27777777777777,72.8888888888889,1.2777777777777777,430.5,58.19573295925722,1692.8511474303345
5310,20.5,8.071428571428571,90.64285714285714,53.57142857142857,1.2142857142857142,347.6428571428572,90.94601245941168,1416.3086181247158
5311,19.0,11.0,80.9090909090909,30.09090909090909,2.0,192.0,42.581031025085174,2010.6363636363642
5312,18.222222222222218,12.666666666666664,83.0,37.888888888888886,3.555555555555556,172.88888888888889,11.852262234533704,930.5911837495579
5313,9.384615384615383,3.901490066225165,35.46153846153846,4.230769230769232,0.7692307692307693,47.230769230769226,90.27103339061291,276.3323579804633
5314,7.8125,3.1074606788079477,36.75,2.5625,0.6875,47.4375,93.07777595269384,274.02004085912637
5315,6.470588235294117,3.807021815348656,37.52941176470589,1.0588235294117647,0.7058823529411765,51.058823529411775,69.73667259282163,309.4117647058824
5316,5.933333333333334,3.6,38.2,0.5333333333333333,0.7333333333333333,51.86666666666667,65.87752956636007,420.66666666666674
5317,4.2,4.141666666666668,27.3,0.4,0.3,64.0,3372.7525295663604,582.9714285714285
5318,4.5,3.473241590214067,34.5,0.0,0.5,3.5,18.835180055401658,137.02568306010926
5319,1.0,13.851239669421489,1.0,0.0,0.0,2.0,548.8022121014964,500.7763157894737
5320,4.333333333333333,10.041852087306633,24.66666666666667,0.0,0.0,0.6666666666666666,366.57184510470125,6.7283950617283965
5321,2.0,8.137158296249206,3.5,0.0,0.0,1.0,275.45666160630367,258.48075048732943
5322,7.666666666666668,9.763327130425266,6.333333333333332,0.0,0.0,3.6666666666666665,236.72090089468773,382.3656565118321
5323,6.142857142857142,7.441100605875058,14.0,0.14285714285714285,0.0,5.285714285714286,207.71368078270424,179.66304392743504
5324,5.333333333333333,7.394722230033044,17.5,0.16666666666666666,0.0,7.833333333333332,225.60587914939381,192.51616158924938
5325,5.666666666666668,7.8568701767828815,20.0,0.16666666666666666,0.0,10.333333333333334,273.28098265844886,95.12938596491229
5326,6.5,8.014617373520904,24.16666666666667,0.0,0.16666666666666666,10.833333333333336,252.16596091315486,13.333333333333336
5327,5.333333333333333,8.505697903592257,18.0,0.0,0.3333333333333333,12.0,247.61102093162216,255.60922730323082
5328,4.25,7.4811403261288545,17.25,0.0,0.25,9.0,134.8436457389025,110.29650248328016
5329,4.4444444444444455,8.662798631648224,13.444444444444445,0.0,0.1111111111111111,7.666666666666668,198.19074962711812,246.91043767455474
5330,4.428571428571429,8.932349423282819,16.857142857142858,0.0,0.14285714285714285,8.285714285714286,174.98779064893813,214.8059010702922
5331,11.909090909090908,12.454545454545455,37.72727272727273,4.909090909090909,1.5454545454545454,302.1818181818182,106.44397125901787,494.45454545454544
5332,2.6842105263157894,5.034238129300972,25.0,0.42105263157894735,0.3684210526315789,50.21052631578947,145.6425368652906,155.6463620023259
5333,17.833333333333332,10.453228476821193,144.33333333333334,115.33333333333331,1.3333333333333333,240.5,58.95349686085561,2356.2735512486747
5334,23.384615384615387,10.529037187977583,167.53846153846158,142.23076923076925,1.0,153.84615384615384,141.82199199620717,826.1165071397703
5335,22.454545454545453,9.858067429259483,115.63636363636364,93.0,0.7272727272727273,143.45454545454547,82.37842751673303,747.674329389229
5336,26.75,20.619895143487856,58.75,35.583333333333336,1.0833333333333333,125.83333333333331,129.52711711401054,718.8762160680845
