index_seg,csl
97,3.124999999999999
98,3.4210526315789473
101,2.9999999999999996
102,2.9999999999999996
103,2.55
104,4.0
126,3.0000000000000004
127,3.0
128,4.0
132,2.0
134,3.0
135,3.0
136,3.6
137,4.0
138,3.0
139,3.9374999999999996
140,4.181818181818181
179,3.0
180,3.0
181,2.9999999999999996
182,3.0000000000000004
183,2.0
253,3.0000000000000004
254,3.0
255,3.0
256,3.0
257,2.7500000000000004
258,2.681818181818181
267,2.545454545454545
269,3.866666666666667
329,2.2
330,2.3333333333333335
331,2.9999999999999996
332,3.0
362,4.0
513,3.25
574,3.0
575,3.0000000000000004
577,4.0
578,2.4545454545454546
579,3.7272727272727266
580,4.0
581,3.933333333333333
582,3.592592592592592
583,3.5
613,3.307692307692308
614,2.9999999999999996
615,3.0
616,2.9999999999999996
617,3.0
648,3.6666666666666665
649,2.333333333333333
651,2.9999999999999996
652,4.0
658,3.0000000000000004
659,3.6363636363636362
660,3.0
662,3.0
663,3.0000000000000004
664,3.5
665,3.5
666,3.5
668,3.0000000000000004
669,3.4117647058823524
670,3.5000000000000004
672,3.0000000000000004
673,3.0
674,3.0
675,3.3888888888888884
676,3.0
677,3.0
679,3.0000000000000004
681,2.6818181818181817
682,2.5
683,2.153846153846154
725,3.307692307692308
726,2.807692307692307
737,5.0
741,3.6666666666666665
742,3.052631578947369
743,2.0
771,3.0
776,4.0
777,4.0
778,4.0
779,4.0
807,2.9999999999999996
808,2.705882352941176
809,2.705882352941176
893,2.5
894,2.7
967,4.0
968,3.5500000000000003
969,2.535714285714285
970,2.1818181818181817
971,2.3333333333333335
972,2.6296296296296293
973,3.1578947368421053
974,4.0
975,1.923076923076923
976,2.6874999999999996
977,2.9583333333333335
993,2.5
994,2.7368421052631584
995,4.0
996,4.0
997,2.0
998,2.0
999,2.0
1000,2.421052631578947
1001,2.5238095238095237
1002,3.0
1003,2.4666666666666663
1004,2.0
1203,4.0
1237,3.0000000000000004
1261,2.0
1278,4.0
1531,3.3529411764705874
1532,3.0
1533,3.0
2177,3.0000000000000004
2254,3.818181818181819
2260,4.0
2635,2.0
2636,3.0
2637,3.0000000000000004
2638,3.0
2639,1.0
2641,2.1999999999999997
2650,2.0
2652,2.0
2653,2.3333333333333335
2654,2.818181818181818
2655,2.0
2656,1.0
2657,1.0
2658,1.0
2659,1.0
2660,1.0
2661,1.0
2662,1.0
2665,2.0
2671,3.0000000000000004
2672,2.9999999999999996
2673,3.545454545454545
2674,3.076923076923077
2675,2.2727272727272725
2676,2.0
2685,4.0
2733,4.0
3149,2.8888888888888884
3150,3.0000000000000004
3380,3.5
3381,3.5000000000000004
3382,3.0
3383,3.5
3385,2.9999999999999996
3386,3.0
3387,3.0571428571428574
3388,3.1538461538461546
3389,2.9285714285714293
3549,2.0
3550,2.0
3593,3.0
3605,4.0
3717,1.5
3719,2.0
3720,1.6666666666666667
3721,1.6666666666666665
3945,4.0
3946,3.090909090909091
3947,3.5
4010,3.0
4012,1.7142857142857142
4013,1.9999999999999998
4014,2.0
4222,3.0
4270,2.1904761904761902
4271,3.375
4272,3.0000000000000004
4273,3.0
4385,4.0
4386,4.0
4387,3.5
4418,3.576923076923076
4419,3.6071428571428568
4429,3.5
4430,3.388888888888889
4431,3.333333333333333
4432,4.0
4472,4.0
4480,4.0
4481,4.0
4569,4.545454545454546
4570,4.0
4737,2.3333333333333335
4789,4.0
4790,4.0
4791,4.0
4811,3.393939393939394
4812,4.0
4870,4.0
4871,3.0
4872,3.45
4873,1.0
4874,3.6999999999999997
4998,3.0000000000000004
5203,3.0000000000000004
5207,4.0
5208,3.5
5209,4.181818181818181
5210,4.0
5284,2.0
5285,4.0
5286,3.444444444444444
5287,5.0
5288,2.75
5340,3.0
5341,2.9999999999999996
5367,2.8421052631578942
5368,2.0
5452,4.0
5455,2.0
5456,1.8181818181818181
5457,3.5
5501,3.4999999999999996
5616,3.5
5617,3.5
5665,3.2727272727272725
5669,4.0
5670,4.0
5671,3.5500000000000003
5672,3.5
5673,3.7272727272727266
5749,4.0
5750,3.5263157894736836
5751,3.0
5753,3.4999999999999996
5754,4.0
5755,4.0
5756,2.0
5757,3.5
5758,3.6363636363636367
5759,3.666666666666667
5760,3.0
5761,3.0
5762,4.0
5821,2.6666666666666665
6000,2.2258064516129035
6001,1.7777777777777781
6214,3.2727272727272734
6215,3.5833333333333335
6216,3.224999999999999
6217,3.666666666666667
6218,3.647058823529411
6330,3.0000000000000004
6331,3.0000000000000004
6332,2.9999999999999996
6333,4.0
6340,3.0
6939,3.6
6940,3.545454545454545
6941,3.0000000000000004
6942,3.0
6943,3.0
6945,3.25
7010,2.9999999999999996
7011,3.7777777777777777
7016,4.0
7312,4.0
7313,3.2592592592592595
7316,3.0769230769230775
7317,4.12
7318,4.5
7319,4.375
7320,4.749999999999999
7321,4.666666666666667
7322,4.541666666666666
7573,2.0
7574,2.0
7592,5.0
7593,4.0625
7594,3.434782608695652
7646,3.2857142857142856
7647,2.666666666666667
7684,2.3333333333333335
7725,3.6249999999999996
7726,3.0
7727,4.0
7728,2.6666666666666665
7729,2.6666666666666665
7769,3.0
7770,2.5
7771,2.5
7773,3.0
7774,3.736842105263158
7775,3.0
7817,3.0
7818,3.0
7870,3.5714285714285716
7878,2.4545454545454546
7879,3.2068965517241375
7880,3.131578947368421
7881,2.8148148148148144
7882,3.0
7883,3.4210526315789473
8258,4.0
8260,4.0
8288,3.75
8289,3.875
8290,3.0
8310,4.0
8311,4.0
8345,4.0
8346,3.166666666666667
8347,3.0
8348,3.4999999999999996
8349,3.5
8458,3.578947368421053
8952,2.666666666666667
8953,2.4000000000000004
8954,3.0
8955,2.6666666666666665
9298,1.0
9299,1.952380952380952
9300,2.0
9303,2.0
9304,1.1818181818181817
9305,1.0
9306,1.5454545454545459
9307,2.266666666666667
9473,3.5
9474,3.533333333333333
9475,3.3103448275862073
9476,3.2380952380952377
9477,3.0
9603,1.4000000000000001
9604,1.5
9605,1.8181818181818183
9606,2.0
9750,3.3636363636363633
9751,2.0
9768,2.3333333333333335
9822,2.0
9855,3.6875
9856,4.0
9857,3.5
9858,3.3333333333333335
9859,2.842105263157895
9860,3.4545454545454546
9861,3.9090909090909087
9873,3.0000000000000004
9874,2.3333333333333335
9875,2.3333333333333335
9876,3.3333333333333335
9877,3.379310344827586
9878,3.733333333333333
9879,3.3124999999999996
9880,3.0
9881,2.0
9882,2.0
10393,4.0
10394,4.0
10395,3.6363636363636362
10396,3.6206896551724137
10403,3.5384615384615388
10448,3.4800000000000004
10449,4.260869565217391
10450,4.0
10451,4.0
10453,3.0
10454,3.5
10595,2.4230769230769234
11484,2.25
11485,3.0000000000000004
11960,3.0
12047,1.0
12064,4.500000000000001
12065,3.2222222222222223
12259,4.0
12260,4.0
12261,4.0
12262,3.5
12263,3.9499999999999997
12264,4.0
12265,3.9428571428571426
12453,3.4999999999999996
12565,2.25
12566,1.0
12567,2.2500000000000004
12568,2.555555555555556
12847,3.4999999999999996
12848,3.230769230769231
12849,2.5789473684210527
12898,4.285714285714286
12942,1.0
13435,3.5
13447,4.0
13449,3.733333333333333
13477,3.5882352941176467
13478,4.0
