,,pred,pred,pred,pred,pred
,,1,2,3,4,5
True,1,0.2,1.0,1.1,0.0,0.0
True,2,0.3,2.8,7.9,1.8,0.0
True,3,0.0,1.0,32.9,6.7,0.0
True,4,0.0,0.0,9.9,22.0,0.0
True,5,0.0,0.1,0.9,0.1,0.3
