upsample,ftr_combo_name,model_name,feature_selection,10,20,30,40,50,60,70,80,90
None,1RoadNet,BAGcls,None,0.3930797940797941,0.42712962962962964,0.4460413868809869,0.5025451413922934,0.49322784810126585,0.4957831325301205,0.5439945280437757,0.5637024312896406,0.5818181818181818
None,1RoadNet,RFreg,None,0.4059184899184899,0.4553439153439154,0.4550358964304264,0.5005650885203877,0.5031566455696204,0.5228915662650602,0.5802120383036935,0.5721458773784356,0.6142045454545454
None,1RoadNet,XGBcls,None,0.3858648648648649,0.4109656084656085,0.44006006065927045,0.4896636225266362,0.47940664556962026,0.4855421686746988,0.5193980848153215,0.5316596194503171,0.5613636363636363
None,2Segment total,BAGcls,None,0.39586936936936934,0.39502645502645506,0.4122780873012292,0.44056789233357363,0.4498101265822785,0.4590361445783132,0.4794049247606019,0.49134513742071884,0.5073863636363638
None,2Segment total,RFreg,None,0.40017739167739164,0.4046031746031747,0.43736461120345727,0.44678963390210685,0.47026898734177214,0.46144578313253015,0.5045896032831738,0.500475687103594,0.5181818181818182
None,2Segment total,XGBcls,None,0.38184641784641776,0.3847883597883598,0.41261475550635573,0.44564063125851155,0.4465585443037975,0.4590361445783132,0.5027633378932969,0.48834566596194506,0.5056818181818181
None,3Segment type,BAGcls,None,0.4047052767052767,0.43120370370370376,0.4432972026637332,0.5096226868541217,0.49238132911392407,0.5126506024096386,0.5579001367989056,0.5543076109936576,0.5892045454545455
None,3Segment type,RFreg,None,0.390951951951952,0.4076984126984128,0.43084873528197193,0.4639098774333093,0.47914556962025323,0.48855421686746986,0.5303214774281806,0.5185385835095138,0.5477272727272727
None,3Segment type,XGBcls,None,0.3903996138996139,0.4056613756613757,0.4192572796329906,0.47639125210285993,0.4803955696202531,0.5150602409638554,0.5321682626538988,0.5427193446088795,0.5687499999999999
None,4RoadNet+Segment total,BAGcls,None,0.412505577005577,0.43813492063492065,0.4513597294855645,0.5258832011535688,0.5302768987341773,0.5216867469879518,0.5749247606019152,0.5738900634249473,0.6039772727272728
None,4RoadNet+Segment total,RFreg,None,0.42743200343200344,0.4598544973544974,0.4718147376347742,0.5038695826323801,0.5321510196905768,0.5355421686746988,0.5918262653898769,0.5875924947145879,0.6210227272727272
None,4RoadNet+Segment total,XGBcls,None,0.406558344058344,0.4291534391534392,0.44394964551805033,0.5052337579107585,0.508946905766526,0.5120481927710844,0.5626196990424077,0.5623414376321354,0.5948863636363636
None,5RoadNet+Segment type,BAGcls,None,0.4104740454740455,0.4317724867724868,0.4535280034378214,0.5359977569494513,0.5201186708860759,0.5397590361445783,0.5767099863201095,0.5803514799154335,0.6125
None,5RoadNet+Segment type,RFreg,None,0.4073880308880309,0.42854497354497356,0.44781260374481924,0.4800958904109589,0.4964442686357243,0.505421686746988,0.5642681258549931,0.5495375264270613,0.5920454545454545
None,5RoadNet+Segment type,XGBcls,None,0.3947580437580437,0.4310714285714285,0.4369459665171006,0.5013161099094768,0.500429852320675,0.5331325301204819,0.56796853625171,0.5728594080338267,0.596590909090909
