,,pred,pred,pred,pred,pred
,,1,2,3,4,5
True,1,0.0,1.4,0.9,0.0,0.0
True,2,0.1,2.8,9.2,0.7,0.0
True,3,0.0,0.4,37.5,2.7,0.0
True,4,0.0,0.1,14.3,17.5,0.0
True,5,0.0,0.0,1.0,0.4,0.0
