,,pred,pred,pred,pred,pred
,,1,2,3,4,5
True,1,0.3,0.9,1.1,0.0,0.0
True,2,0.4,3.3,7.6,1.5,0.0
True,3,0.0,1.1,32.5,7.0,0.0
True,4,0.0,0.0,10.7,21.2,0.0
True,5,0.0,0.1,0.7,0.3,0.3
