,,pred,pred,pred,pred,pred
,,1,2,3,4,5
True,1,0.4,1.0,0.9,0.0,0.0
True,2,0.6,3.1,6.9,2.2,0.0
True,3,0.0,1.8,32.1,6.7,0.0
True,4,0.0,0.4,9.0,22.5,0.0
True,5,0.0,0.2,0.4,0.5,0.3
