column,,column,knn,I,p_norm,p_rand,z_norm,z_rand,ftr_type
d_in_deg_SgAsNd,263,d_in_deg_SgAsNd,4,0.4863630058081743,0.0,0.0,84.64790461236774,103.65931014037363,net_SaN
311_SCHOOL CROSSING GUAR,1293,311_SCHOOL CROSSING GUAR,4,0.48503437991663684,0.0,0.0,84.4167022041162,84.41563432789476,311
d_out_deg_SgAsNd,283,d_out_deg_SgAsNd,4,0.47825137272311635,0.0,0.0,83.23634917297468,102.28185514810602,net_SaN
food,673,food,4,0.471657505915567,0.0,0.0,82.08890963013161,82.43009123725467,poi
ud_bridge_SgAsNd,320,ud_bridge_SgAsNd,1,0.4691998567744959,0.0,0.0,44.41745222833173,44.54277277330844,net_SaN
311_SIDEWALK REPAIR,1321,311_SIDEWALK REPAIR,2,0.4654221428380301,0.0,0.0,59.455111055530104,59.77207784706095,311
311_TRAFFIC SIGNAL ISSUE,1481,311_TRAFFIC SIGNAL ISSUE,2,0.4646648613338218,0.0,0.0,59.358387891248725,60.09390473264761,311
v0rq_Stop sign running,1750,v0rq_Stop sign running,1,0.46368416970472753,0.0,0.0,43.8953843893035,44.29570147949389,v0
311_POTHOLES,1120,311_POTHOLES,1,0.4595718574221676,0.0,0.0,43.50614802407666,44.383023861772514,311
311_TREE PRUNING,1520,311_TREE PRUNING,1,0.4515323252083851,0.0,0.0,42.74519455507872,43.95366220636447,311
311_BUS AND/OR RAIL ISSU,910,311_BUS AND/OR RAIL ISSU,1,0.45152550854280954,0.0,0.0,42.74454934772352,43.031445292609085,311
STREETTYPE_CT,70,STREETTYPE_CT,1,0.4497637639126448,0.0,0.0,42.57779764474332,42.6966642024895,seg_attr
311_MARKING MODIFICATION,1040,311_MARKING MODIFICATION,1,0.4414694504141474,0.0,0.0,41.7927287549368,41.98345617520034,311
v0rq_Cyclist behavior,1621,v0rq_Cyclist behavior,2,0.4391815940424675,0.0,0.0,56.103558300204135,56.3211080513958,v0
311_TREE INSPECTION,1500,311_TREE INSPECTION,1,0.4349222885777342,0.0,0.0,41.17303032236276,43.52192770033951,311
311_SIGNS CONFLICTING,1381,311_SIGNS CONFLICTING,2,0.4302703609198565,0.0,0.0,54.96537829649593,55.26487738568461,311
v0rq_Long wait to cross,1672,v0rq_Long wait to cross,3,0.42989947378018645,0.0,0.0,65.80811501227234,66.33317433423348,v0
v0ur_Biker,1560,v0ur_Biker,1,0.4298417076075352,0.0,0.0,40.69214591130586,40.98631190196245,v0
311_STREETLIGHT REPAIR,1440,311_STREETLIGHT REPAIR,1,0.42474233523398985,0.0,0.0,40.20948286646983,41.66761260610448,311
311_TREE PLANTING,1511,311_TREE PLANTING,2,0.4236492362535853,0.0,0.0,54.11970053299006,54.81076646299497,311
311_MARKING MAINTENANCE,1033,311_MARKING MAINTENANCE,4,0.4220777755563538,0.0,0.0,73.4612341252936,73.68696786471531,311
side_walk_no,532,side_walk_no,3,0.4218361285561153,0.0,0.0,64.57400725257814,65.29724913624926,bk_osm
311_SIGN REPLACE,1360,311_SIGN REPLACE,1,0.4141990873248501,0.0,0.0,39.2115490492247,40.89665781602223,311
elevation_diff,200,elevation_diff,1,0.4082222351022776,0.0,0.0,38.64583125476677,39.45902741723036,elevation
art,632,art,3,0.40602602455766623,0.0,0.0,62.15424579082007,62.51951292943007,poi
crash_evt_COLLISION_WITH_NON_FIXED,743,crash_evt_COLLISION_WITH_NON_FIXED,4,0.4008133637674747,0.0,0.0,69.7608823205039,70.46341941750887,crash
nightlife spot,683,nightlife spot,4,0.399866913508991,0.0,0.0,69.59618465771901,69.7829115511257,poi
311_TRAFFIC SAFETY,1470,311_TRAFFIC SAFETY,1,0.3964560088411811,0.0,0.0,37.53214074985821,37.87582751668949,311
v0rq_Other Driving Issue,1700,v0rq_Other Driving Issue,1,0.3959064693750979,0.0,0.0,37.48012603657049,37.85378603471486,v0
v0rq_Long distance to cross,1660,v0rq_Long distance to cross,1,0.395042352134667,0.0,0.0,37.39833607737366,37.48363030602289,v0
crash_evt_PENDING_INVESTIGATION,763,crash_evt_PENDING_INVESTIGATION,4,0.38971600065711,0.0,0.0,67.82976153420873,68.44896097315382,crash
v0rq_Poor visibility,1720,v0rq_Poor visibility,1,0.38828974592509086,0.0,0.0,36.759192034745794,36.940204854733246,v0
311_ALLEYLIGHT REPAIR,850,311_ALLEYLIGHT REPAIR,1,0.3851395575156242,0.0,0.0,36.46102209967529,36.95758810942228,311
311_SIGN NEW,1340,311_SIGN NEW,1,0.38180029284906725,0.0,0.0,36.14495582064943,36.59948401378638,311
crash_1stharm_Motor Vehicle In Transport,783,crash_1stharm_Motor Vehicle In Transport,4,0.37635553366430036,0.0,0.0,65.50482404520037,66.00826296940157,crash
v0rq_Blocking the bikebox,1600,v0rq_Blocking the bikebox,1,0.3692814855380685,0.0,0.0,34.960032419920964,35.0004967799431,v0
SHAPE_Length,0,SHAPE_Length,1,0.3656336349226495,0.0,0.0,34.61475803002168,34.68370534285787,seg_attr
v0rq_Jaywalking,1652,v0rq_Jaywalking,3,0.3656329520131996,0.0,0.0,55.97202205119848,56.191385318786914,v0
311_STREET REPAIR,1420,311_STREET REPAIR,1,0.3609973605396141,0.0,0.0,34.17592788652791,34.963445358553784,311
