,column,db_nb,I,EI,p_norm,p_rand,p_sim,p_z_sim
51,STREETTYPE_OTHER,150,0.08186194461487382,-7.395902669920864e-05,0.0,0.0,0.002,0.0
52,STREETTYPE_OTHER,200,0.06106979586052232,-7.395902669920864e-05,0.0,0.0,0.002,0.0
53,STREETTYPE_OTHER,300,0.04031522220575923,-7.395902669920864e-05,0.0,0.0,0.002,0.0
54,STREETTYPE_OTHER,400,0.032414706336239406,-7.395902669920864e-05,0.0,0.0,0.002,0.0
55,STREETTYPE_PKWY,100,0.07165884552588193,-7.395902669920864e-05,0.0,0.0,0.002,0.0
56,STREETTYPE_PKWY,150,0.1117946880513033,-7.395902669920864e-05,0.0,0.0,0.002,0.0
57,STREETTYPE_PKWY,200,0.1036214894422584,-7.395902669920864e-05,0.0,0.0,0.002,0.0
58,STREETTYPE_PKWY,300,0.08991987660861732,-7.395902669920864e-05,0.0,0.0,0.002,0.0
59,STREETTYPE_PKWY,400,0.07566276370475974,-7.395902669920864e-05,0.0,0.0,0.002,0.0
60,STREETTYPE_PL,100,0.1356701107352146,-7.395902669920864e-05,0.0,0.0,0.002,0.0
61,STREETTYPE_PL,150,0.13041214840884174,-7.395902669920864e-05,0.0,0.0,0.002,0.0
62,STREETTYPE_PL,200,0.13149789128306533,-7.395902669920864e-05,0.0,0.0,0.002,0.0
63,STREETTYPE_PL,300,0.11221997362612843,-7.395902669920864e-05,0.0,0.0,0.002,0.0
64,STREETTYPE_PL,400,0.09823673938828616,-7.395902669920864e-05,0.0,0.0,0.002,0.0
65,STREETTYPE_RD,100,0.23806441071681625,-7.395902669920864e-05,0.0,0.0,0.002,0.0
66,STREETTYPE_RD,150,0.2538927785059284,-7.395902669920864e-05,0.0,0.0,0.002,0.0
67,STREETTYPE_RD,200,0.24884892948436488,-7.395902669920864e-05,0.0,0.0,0.002,0.0
68,STREETTYPE_RD,300,0.22241797670628016,-7.395902669920864e-05,0.0,0.0,0.002,0.0
69,STREETTYPE_RD,400,0.19533557232310106,-7.395902669920864e-05,0.0,0.0,0.002,0.0
70,STREETTYPE_ST,100,0.21404572519430337,-7.395902669920864e-05,0.0,0.0,0.002,0.0
71,STREETTYPE_ST,150,0.25092351492478215,-7.395902669920864e-05,0.0,0.0,0.002,0.0
72,STREETTYPE_ST,200,0.23882940371652678,-7.395902669920864e-05,0.0,0.0,0.002,0.0
73,STREETTYPE_ST,300,0.21294204472284475,-7.395902669920864e-05,0.0,0.0,0.002,0.0
74,STREETTYPE_ST,400,0.1905828699375646,-7.395902669920864e-05,0.0,0.0,0.002,0.0
75,STREETTYPE_TER,100,0.1790583693538962,-7.395902669920864e-05,0.0,0.0,0.002,0.0
76,STREETTYPE_TER,150,0.16301616059001647,-7.395902669920864e-05,0.0,0.0,0.002,0.0
77,STREETTYPE_TER,200,0.14122417508186325,-7.395902669920864e-05,0.0,0.0,0.002,0.0
78,STREETTYPE_TER,300,0.1265535808302084,-7.395902669920864e-05,0.0,0.0,0.002,0.0
79,STREETTYPE_TER,400,0.10581629421484666,-7.395902669920864e-05,0.0,0.0,0.002,0.0
80,STREETTYPE_WAY,100,0.28936797801324693,-7.395902669920864e-05,0.0,0.0,0.002,0.0
81,STREETTYPE_WAY,150,0.23965535688486755,-7.395902669920864e-05,0.0,0.0,0.002,0.0
82,STREETTYPE_WAY,200,0.2238207540659425,-7.395902669920864e-05,0.0,0.0,0.002,0.0
83,STREETTYPE_WAY,300,0.18208765532158594,-7.395902669920864e-05,0.0,0.0,0.002,0.0
84,STREETTYPE_WAY,400,0.17015012163982948,-7.395902669920864e-05,0.0,0.0,0.002,0.0
85,SEGMENTTYPE_1,100,-0.00012900111508273626,-7.395902669920864e-05,1.9884357520780198,1.9884358723885038,0.21,0.35068913230853804
86,SEGMENTTYPE_1,150,-8.728324109397296e-05,-7.395902669920864e-05,1.995792558501265,1.9957928533193063,0.462,0.5876443965653012
87,SEGMENTTYPE_1,200,-8.512706609348343e-05,-7.395902669920864e-05,1.9954529914080217,1.9954536324252656,0.354,0.5249366147415664
88,SEGMENTTYPE_1,300,-7.552419232707148e-05,-7.395902669920864e-05,1.9991024515669815,1.9991027351644743,0.92,0.8997070581594215
89,SEGMENTTYPE_1,400,-7.753257020920269e-05,-7.395902669920864e-05,1.9974127322913555,1.9974140917799097,0.746,0.7666423354185539
90,SEGMENTTYPE_2,100,0.4586143506764199,-7.395902669920864e-05,0.0,0.0,0.002,0.0
91,SEGMENTTYPE_2,150,0.4025362549272752,-7.395902669920864e-05,0.0,0.0,0.002,0.0
92,SEGMENTTYPE_2,200,0.3797947670709235,-7.395902669920864e-05,0.0,0.0,0.002,0.0
93,SEGMENTTYPE_2,300,0.33795321313943427,-7.395902669920864e-05,0.0,0.0,0.002,0.0
94,SEGMENTTYPE_2,400,0.3022979358662674,-7.395902669920864e-05,0.0,0.0,0.002,0.0
95,SEGMENTTYPE_3,100,-7.301095057444161e-05,-7.395902669920864e-05,1.9998008090969286,1.9998008111692789,0.72,0.9907176390148811
96,SEGMENTTYPE_3,150,-6.637733722939445e-05,-7.395902669920864e-05,1.9976058971318147,1.997606064888354,0.484,0.8221356021605415
97,SEGMENTTYPE_3,200,-7.672920655564969e-05,-7.395902669920864e-05,1.9988721343863425,1.9988722933882728,0.9,0.8884631018268898
98,SEGMENTTYPE_3,300,-6.844335275927067e-05,-7.395902669920864e-05,1.9968370238694595,1.9968380232707044,0.484,0.6887708062623314
99,SEGMENTTYPE_3,400,-7.250462948490716e-05,-7.395902669920864e-05,1.998947006993728,1.9989475602928635,0.704,0.8435103544419689
100,elevation_diff,100,0.3014312914002115,-7.395902669920864e-05,0.0,0.0,0.002,0.0
101,elevation_diff,150,0.29230465690049134,-7.395902669920864e-05,0.0,0.0,0.002,0.0
102,elevation_diff,200,0.27105985136519245,-7.395902669920864e-05,0.0,0.0,0.002,0.0
103,elevation_diff,300,0.23949558406854923,-7.395902669920864e-05,0.0,0.0,0.002,0.0
104,elevation_diff,400,0.2204600293482254,-7.395902669920864e-05,0.0,0.0,0.002,0.0
105,d_auth_score_SgAsNd,100,0.7889648702629499,-7.395902669920864e-05,0.0,0.0,0.002,0.0
106,d_auth_score_SgAsNd,150,0.6293874226811218,-7.395902669920864e-05,0.0,0.0,0.002,0.0
107,d_auth_score_SgAsNd,200,0.5274552361089863,-7.395902669920864e-05,0.0,0.0,0.002,0.0
108,d_auth_score_SgAsNd,300,0.4015955045829668,-7.395902669920864e-05,0.0,0.0,0.002,0.0
109,d_auth_score_SgAsNd,400,0.3046962295129743,-7.395902669920864e-05,0.0,0.0,0.002,0.0
110,d_btw_cntr_SgAsNd,100,0.15025344692067438,-7.395902669920864e-05,0.0,0.0,0.002,0.0
111,d_btw_cntr_SgAsNd,150,0.17127847055592413,-7.395902669920864e-05,0.0,0.0,0.002,0.0
112,d_btw_cntr_SgAsNd,200,0.21340894469445537,-7.395902669920864e-05,0.0,0.0,0.002,0.0
113,d_btw_cntr_SgAsNd,300,0.1994169912244295,-7.395902669920864e-05,0.0,0.0,0.002,0.0
114,d_btw_cntr_SgAsNd,400,0.17374532891906924,-7.395902669920864e-05,0.0,0.0,0.002,0.0
115,d_clo_cntr_SgAsNd,100,0.7105106146730374,-7.395902669920864e-05,0.0,0.0,0.002,0.0
116,d_clo_cntr_SgAsNd,150,0.6832670322438232,-7.395902669920864e-05,0.0,0.0,0.002,0.0
117,d_clo_cntr_SgAsNd,200,0.6676866846531582,-7.395902669920864e-05,0.0,0.0,0.002,0.0
118,d_clo_cntr_SgAsNd,300,0.6469376584139226,-7.395902669920864e-05,0.0,0.0,0.002,0.0
119,d_clo_cntr_SgAsNd,400,0.6238294567652009,-7.395902669920864e-05,0.0,0.0,0.002,0.0
120,d_far_cntr_SgAsNd,100,0.2839617637526694,-7.395902669920864e-05,0.0,0.0,0.002,0.0
121,d_far_cntr_SgAsNd,150,0.24104461945459615,-7.395902669920864e-05,0.0,0.0,0.002,0.0
122,d_far_cntr_SgAsNd,200,0.19935746864014056,-7.395902669920864e-05,0.0,0.0,0.002,0.0
123,d_far_cntr_SgAsNd,300,0.12538047427652232,-7.395902669920864e-05,0.0,0.0,0.002,0.0
124,d_far_cntr_SgAsNd,400,0.09708740316997418,-7.395902669920864e-05,0.0,0.0,0.002,0.0
125,d_hub_score_SgAsNd,100,0.7535218164313079,-7.395902669920864e-05,0.0,0.0,0.002,0.0
126,d_hub_score_SgAsNd,150,0.610296038177322,-7.395902669920864e-05,0.0,0.0,0.002,0.0
127,d_hub_score_SgAsNd,200,0.5164901643478753,-7.395902669920864e-05,0.0,0.0,0.002,0.0
128,d_hub_score_SgAsNd,300,0.39116827219215217,-7.395902669920864e-05,0.0,0.0,0.002,0.0
129,d_hub_score_SgAsNd,400,0.29749684598963,-7.395902669920864e-05,0.0,0.0,0.002,0.0
130,d_in_deg_SgAsNd,100,0.47962802802010956,-7.395902669920864e-05,0.0,0.0,0.002,0.0
131,d_in_deg_SgAsNd,150,0.4482694674587883,-7.395902669920864e-05,0.0,0.0,0.002,0.0
132,d_in_deg_SgAsNd,200,0.4103877736034027,-7.395902669920864e-05,0.0,0.0,0.002,0.0
133,d_in_deg_SgAsNd,300,0.3519796383729818,-7.395902669920864e-05,0.0,0.0,0.002,0.0
134,d_in_deg_SgAsNd,400,0.3107376085593152,-7.395902669920864e-05,0.0,0.0,0.002,0.0
135,d_node_ecc_SgAsNd,100,0.7244352632049859,-7.395902669920864e-05,0.0,0.0,0.002,0.0
136,d_node_ecc_SgAsNd,150,0.6954538564378374,-7.395902669920864e-05,0.0,0.0,0.002,0.0
137,d_node_ecc_SgAsNd,200,0.6828793192259399,-7.395902669920864e-05,0.0,0.0,0.002,0.0
138,d_node_ecc_SgAsNd,300,0.6610285768185176,-7.395902669920864e-05,0.0,0.0,0.002,0.0
139,d_node_ecc_SgAsNd,400,0.6385666890212952,-7.395902669920864e-05,0.0,0.0,0.002,0.0
140,d_out_deg_SgAsNd,100,0.47040056345705417,-7.395902669920864e-05,0.0,0.0,0.002,0.0
141,d_out_deg_SgAsNd,150,0.43957733677485245,-7.395902669920864e-05,0.0,0.0,0.002,0.0
142,d_out_deg_SgAsNd,200,0.4012339707589822,-7.395902669920864e-05,0.0,0.0,0.002,0.0
143,d_out_deg_SgAsNd,300,0.34432698589369476,-7.395902669920864e-05,0.0,0.0,0.002,0.0
144,d_out_deg_SgAsNd,400,0.3038690767165022,-7.395902669920864e-05,0.0,0.0,0.002,0.0
145,d_page_rank_SgAsNd,100,0.344492730371904,-7.395902669920864e-05,0.0,0.0,0.002,0.0
146,d_page_rank_SgAsNd,150,0.29281912382350755,-7.395902669920864e-05,0.0,0.0,0.002,0.0
147,d_page_rank_SgAsNd,200,0.24692230952092536,-7.395902669920864e-05,0.0,0.0,0.002,0.0
148,d_page_rank_SgAsNd,300,0.18282994432368904,-7.395902669920864e-05,0.0,0.0,0.002,0.0
149,d_page_rank_SgAsNd,400,0.14576522027930996,-7.395902669920864e-05,0.0,0.0,0.002,0.0
150,ud_art_pt_SgAsNd,100,0.08015287321604374,-7.395902669920864e-05,0.0,0.0,0.002,0.0
151,ud_art_pt_SgAsNd,150,0.07818982127941965,-7.395902669920864e-05,0.0,0.0,0.002,0.0
152,ud_art_pt_SgAsNd,200,0.07739367498777407,-7.395902669920864e-05,0.0,0.0,0.002,0.0
153,ud_art_pt_SgAsNd,300,0.06754344355368862,-7.395902669920864e-05,0.0,0.0,0.002,0.0
154,ud_art_pt_SgAsNd,400,0.0624341505305295,-7.395902669920864e-05,0.0,0.0,0.002,0.0
155,ud_auth_score_SgAsNd,100,0.6882403700137419,-7.395902669920864e-05,0.0,0.0,0.002,0.0
156,ud_auth_score_SgAsNd,150,0.5658651660034507,-7.395902669920864e-05,0.0,0.0,0.002,0.0
157,ud_auth_score_SgAsNd,200,0.46588194438242,-7.395902669920864e-05,0.0,0.0,0.002,0.0
158,ud_auth_score_SgAsNd,300,0.35463501397274605,-7.395902669920864e-05,0.0,0.0,0.002,0.0
159,ud_auth_score_SgAsNd,400,0.2637217951221141,-7.395902669920864e-05,0.0,0.0,0.002,0.0
160,ud_bridge_SgAsNd,100,0.38163557738588816,-7.395902669920864e-05,0.0,0.0,0.002,0.0
161,ud_bridge_SgAsNd,150,0.24908932208643095,-7.395902669920864e-05,0.0,0.0,0.002,0.0
162,ud_bridge_SgAsNd,200,0.20776941944675828,-7.395902669920864e-05,0.0,0.0,0.002,0.0
163,ud_bridge_SgAsNd,300,0.18944381493008033,-7.395902669920864e-05,0.0,0.0,0.002,0.0
164,ud_bridge_SgAsNd,400,0.1451328267858213,-7.395902669920864e-05,0.0,0.0,0.002,0.0
165,ud_btw_cntr_SgAsNd,100,0.10329987997287023,-7.395902669920864e-05,0.0,0.0,0.002,0.0
166,ud_btw_cntr_SgAsNd,150,0.12307902712111811,-7.395902669920864e-05,0.0,0.0,0.002,0.0
167,ud_btw_cntr_SgAsNd,200,0.12998410561645804,-7.395902669920864e-05,0.0,0.0,0.002,0.0
168,ud_btw_cntr_SgAsNd,300,0.13789328476811602,-7.395902669920864e-05,0.0,0.0,0.002,0.0
169,ud_btw_cntr_SgAsNd,400,0.1224935654804604,-7.395902669920864e-05,0.0,0.0,0.002,0.0
170,ud_clo_cntr_SgAsNd,100,0.7110419808891675,-7.395902669920864e-05,0.0,0.0,0.002,0.0
171,ud_clo_cntr_SgAsNd,150,0.6842165149294541,-7.395902669920864e-05,0.0,0.0,0.002,0.0
172,ud_clo_cntr_SgAsNd,200,0.6682480057020543,-7.395902669920864e-05,0.0,0.0,0.002,0.0
173,ud_clo_cntr_SgAsNd,300,0.6444845534537244,-7.395902669920864e-05,0.0,0.0,0.002,0.0
174,ud_clo_cntr_SgAsNd,400,0.6233484865544872,-7.395902669920864e-05,0.0,0.0,0.002,0.0
175,ud_deg_cntr_SgAsNd,100,0.4795662006983793,-7.395902669920864e-05,0.0,0.0,0.002,0.0
176,ud_deg_cntr_SgAsNd,150,0.44854694119626726,-7.395902669920864e-05,0.0,0.0,0.002,0.0
177,ud_deg_cntr_SgAsNd,200,0.4166244228765612,-7.395902669920864e-05,0.0,0.0,0.002,0.0
178,ud_deg_cntr_SgAsNd,300,0.3628094994406441,-7.395902669920864e-05,0.0,0.0,0.002,0.0
179,ud_deg_cntr_SgAsNd,400,0.32438427359028166,-7.395902669920864e-05,0.0,0.0,0.002,0.0
180,ud_eig_cntr_SgAsNd,100,0.6882436253302673,-7.395902669920864e-05,0.0,0.0,0.002,0.0
181,ud_eig_cntr_SgAsNd,150,0.5658683414315728,-7.395902669920864e-05,0.0,0.0,0.002,0.0
182,ud_eig_cntr_SgAsNd,200,0.465885754457401,-7.395902669920864e-05,0.0,0.0,0.002,0.0
183,ud_eig_cntr_SgAsNd,300,0.3546394939685311,-7.395902669920864e-05,0.0,0.0,0.002,0.0
184,ud_eig_cntr_SgAsNd,400,0.26372699758768314,-7.395902669920864e-05,0.0,0.0,0.002,0.0
185,ud_far_cntr_SgAsNd,100,0.8091933210490018,-7.395902669920864e-05,0.0,0.0,0.002,0.0
186,ud_far_cntr_SgAsNd,150,0.777838612450266,-7.395902669920864e-05,0.0,0.0,0.002,0.0
187,ud_far_cntr_SgAsNd,200,0.7693647996308257,-7.395902669920864e-05,0.0,0.0,0.002,0.0
188,ud_far_cntr_SgAsNd,300,0.7486830651479411,-7.395902669920864e-05,0.0,0.0,0.002,0.0
189,ud_far_cntr_SgAsNd,400,0.7312062066200115,-7.395902669920864e-05,0.0,0.0,0.002,0.0
190,ud_hub_score_SgAsNd,100,0.6882410524900676,-7.395902669920864e-05,0.0,0.0,0.002,0.0
191,ud_hub_score_SgAsNd,150,0.5658658249257638,-7.395902669920864e-05,0.0,0.0,0.002,0.0
192,ud_hub_score_SgAsNd,200,0.4658827340536425,-7.395902669920864e-05,0.0,0.0,0.002,0.0
193,ud_hub_score_SgAsNd,300,0.3546359440971142,-7.395902669920864e-05,0.0,0.0,0.002,0.0
194,ud_hub_score_SgAsNd,400,0.26372287797955524,-7.395902669920864e-05,0.0,0.0,0.002,0.0
195,ud_node_ecc_SgAsNd,100,0.8009838093480637,-7.395902669920864e-05,0.0,0.0,0.002,0.0
196,ud_node_ecc_SgAsNd,150,0.7790047040873458,-7.395902669920864e-05,0.0,0.0,0.002,0.0
197,ud_node_ecc_SgAsNd,200,0.7708635576276889,-7.395902669920864e-05,0.0,0.0,0.002,0.0
198,ud_node_ecc_SgAsNd,300,0.7515126108554231,-7.395902669920864e-05,0.0,0.0,0.002,0.0
199,ud_node_ecc_SgAsNd,400,0.7354329461164982,-7.395902669920864e-05,0.0,0.0,0.002,0.0
200,ud_page_rank_SgAsNd,100,0.22681255163674402,-7.395902669920864e-05,0.0,0.0,0.002,0.0
201,ud_page_rank_SgAsNd,150,0.20372982562685754,-7.395902669920864e-05,0.0,0.0,0.002,0.0
202,ud_page_rank_SgAsNd,200,0.18565447569817015,-7.395902669920864e-05,0.0,0.0,0.002,0.0
203,ud_page_rank_SgAsNd,300,0.15336967604249385,-7.395902669920864e-05,0.0,0.0,0.002,0.0
204,ud_page_rank_SgAsNd,400,0.13319706959219338,-7.395902669920864e-05,0.0,0.0,0.002,0.0
205,d_btw_cntr_SgAsEg,100,0.15032515549564365,-7.395902669920864e-05,0.0,0.0,0.002,0.0
206,d_btw_cntr_SgAsEg,150,0.16976528673862623,-7.395902669920864e-05,0.0,0.0,0.002,0.0
207,d_btw_cntr_SgAsEg,200,0.21391823843432145,-7.395902669920864e-05,0.0,0.0,0.002,0.0
208,d_btw_cntr_SgAsEg,300,0.1992229204190136,-7.395902669920864e-05,0.0,0.0,0.002,0.0
209,d_btw_cntr_SgAsEg,400,0.17361611097822005,-7.395902669920864e-05,0.0,0.0,0.002,0.0
