,column,db_b,I,EI,p_norm,p_rand,p_sim,p_z_sim
51,STREETTYPE_OTHER,150,0.08034832162125861,-7.395902669920864e-05,0.0,0.0,0.002,0.0
52,STREETTYPE_OTHER,200,0.048115559753579555,-7.395902669920864e-05,0.0,0.0,0.002,0.0
53,STREETTYPE_OTHER,300,0.02160537572290131,-7.395902669920864e-05,0.0,0.0,0.002,0.0
54,STREETTYPE_OTHER,400,0.015888704758195475,-7.395902669920864e-05,0.0,0.0,0.004,2.220446049250313e-16
55,STREETTYPE_PKWY,100,0.07872938302367885,-7.395902669920864e-05,0.0,0.0,0.002,0.0
56,STREETTYPE_PKWY,150,0.11621022763423841,-7.395902669920864e-05,0.0,0.0,0.002,0.0
57,STREETTYPE_PKWY,200,0.10052969062974226,-7.395902669920864e-05,0.0,0.0,0.002,0.0
58,STREETTYPE_PKWY,300,0.0790935707790357,-7.395902669920864e-05,0.0,0.0,0.002,0.0
59,STREETTYPE_PKWY,400,0.06108785146630849,-7.395902669920864e-05,0.0,0.0,0.002,0.0
60,STREETTYPE_PL,100,0.13587732821223136,-7.395902669920864e-05,0.0,0.0,0.002,0.0
61,STREETTYPE_PL,150,0.12760614935243197,-7.395902669920864e-05,0.0,0.0,0.002,0.0
62,STREETTYPE_PL,200,0.12767365955896434,-7.395902669920864e-05,0.0,0.0,0.002,0.0
63,STREETTYPE_PL,300,0.09798587267406304,-7.395902669920864e-05,0.0,0.0,0.002,0.0
64,STREETTYPE_PL,400,0.07952951112900006,-7.395902669920864e-05,0.0,0.0,0.002,0.0
65,STREETTYPE_RD,100,0.24751882585371143,-7.395902669920864e-05,0.0,0.0,0.002,0.0
66,STREETTYPE_RD,150,0.25606549597458395,-7.395902669920864e-05,0.0,0.0,0.002,0.0
67,STREETTYPE_RD,200,0.24023250976191868,-7.395902669920864e-05,0.0,0.0,0.002,0.0
68,STREETTYPE_RD,300,0.2008979962025021,-7.395902669920864e-05,0.0,0.0,0.002,0.0
69,STREETTYPE_RD,400,0.16611699348189288,-7.395902669920864e-05,0.0,0.0,0.002,0.0
70,STREETTYPE_ST,100,0.2266833182536752,-7.395902669920864e-05,0.0,0.0,0.002,0.0
71,STREETTYPE_ST,150,0.2588881332751579,-7.395902669920864e-05,0.0,0.0,0.002,0.0
72,STREETTYPE_ST,200,0.2359488862237806,-7.395902669920864e-05,0.0,0.0,0.002,0.0
73,STREETTYPE_ST,300,0.19605249579440553,-7.395902669920864e-05,0.0,0.0,0.002,0.0
74,STREETTYPE_ST,400,0.16562645478122726,-7.395902669920864e-05,0.0,0.0,0.002,0.0
75,STREETTYPE_TER,100,0.17542420822761817,-7.395902669920864e-05,0.0,0.0,0.002,0.0
76,STREETTYPE_TER,150,0.15766373175211784,-7.395902669920864e-05,0.0,0.0,0.002,0.0
77,STREETTYPE_TER,200,0.1277225768718794,-7.395902669920864e-05,0.0,0.0,0.002,0.0
78,STREETTYPE_TER,300,0.10640293804463916,-7.395902669920864e-05,0.0,0.0,0.002,0.0
79,STREETTYPE_TER,400,0.07972126468703798,-7.395902669920864e-05,0.0,0.0,0.002,0.0
80,STREETTYPE_WAY,100,0.28191633859311055,-7.395902669920864e-05,0.0,0.0,0.002,0.0
81,STREETTYPE_WAY,150,0.22507613985600183,-7.395902669920864e-05,0.0,0.0,0.002,0.0
82,STREETTYPE_WAY,200,0.20354011337657643,-7.395902669920864e-05,0.0,0.0,0.002,0.0
83,STREETTYPE_WAY,300,0.14248188544911025,-7.395902669920864e-05,0.0,0.0,0.002,0.0
84,STREETTYPE_WAY,400,0.12845393253799892,-7.395902669920864e-05,0.0,0.0,0.002,0.0
85,SEGMENTTYPE_1,100,-0.0001053250136139235,-7.395902669920864e-05,1.9933077525487903,1.9933078320941287,0.508,0.5828295379082932
86,SEGMENTTYPE_1,150,-8.11932606074748e-05,-7.395902669920864e-05,1.9976135120638578,1.9976137026333531,0.79,0.817042672021354
87,SEGMENTTYPE_1,200,-8.554382106615641e-05,-7.395902669920864e-05,1.9949100521643663,1.9949109187205067,0.384,0.4700404472350669
88,SEGMENTTYPE_1,300,-6.585986138844342e-05,-7.395902669920864e-05,1.9946894042762082,1.994691658077611,0.32,0.42778176362232134
89,SEGMENTTYPE_1,400,-7.20620782011893e-05,-7.395902669920864e-05,1.9983549340596696,1.9983562002199378,0.722,0.8825516891245184
90,SEGMENTTYPE_2,100,0.4425353110765904,-7.395902669920864e-05,0.0,0.0,0.002,0.0
91,SEGMENTTYPE_2,150,0.37467120951574684,-7.395902669920864e-05,0.0,0.0,0.002,0.0
92,SEGMENTTYPE_2,200,0.3439413862943161,-7.395902669920864e-05,0.0,0.0,0.002,0.0
93,SEGMENTTYPE_2,300,0.2910861487454792,-7.395902669920864e-05,0.0,0.0,0.002,0.0
94,SEGMENTTYPE_2,400,0.25024199361611293,-7.395902669920864e-05,0.0,0.0,0.002,0.0
95,SEGMENTTYPE_3,100,-6.395177354166227e-05,-7.395902669920864e-05,1.9978648466905748,1.9978648720695507,0.56,0.9082671588682696
96,SEGMENTTYPE_3,150,-5.719295482694442e-05,-7.395902669920864e-05,1.99446908082178,1.994469522483783,0.254,0.532705693146416
97,SEGMENTTYPE_3,200,-7.790234784247608e-05,-7.395902669920864e-05,1.9982674419266095,1.99826773689296,0.738,0.7866056206047278
98,SEGMENTTYPE_3,300,-5.960476454857734e-05,-7.395902669920864e-05,1.9905879953055465,1.9905919897014526,0.138,0.21518508340878273
99,SEGMENTTYPE_3,400,-6.833796067557064e-05,-7.395902669920864e-05,1.995125322838292,1.9951290747277435,0.418,0.5056233055074821
100,elevation_diff,100,0.29434943872186503,-7.395902669920864e-05,0.0,0.0,0.002,0.0
101,elevation_diff,150,0.27394956411082544,-7.395902669920864e-05,0.0,0.0,0.002,0.0
102,elevation_diff,200,0.2499368602069862,-7.395902669920864e-05,0.0,0.0,0.002,0.0
103,elevation_diff,300,0.2161788811368507,-7.395902669920864e-05,0.0,0.0,0.002,0.0
104,elevation_diff,400,0.19669844844646475,-7.395902669920864e-05,0.0,0.0,0.002,0.0
105,d_auth_score_SgAsNd,100,0.7934704789088672,-7.395902669920864e-05,0.0,0.0,0.002,0.0
106,d_auth_score_SgAsNd,150,0.61189253209683,-7.395902669920864e-05,0.0,0.0,0.002,0.0
107,d_auth_score_SgAsNd,200,0.4925340308745968,-7.395902669920864e-05,0.0,0.0,0.002,0.0
108,d_auth_score_SgAsNd,300,0.3308238474396972,-7.395902669920864e-05,0.0,0.0,0.002,0.0
109,d_auth_score_SgAsNd,400,0.2224708068807875,-7.395902669920864e-05,0.0,0.0,0.002,0.0
110,d_btw_cntr_SgAsNd,100,0.14897328504819313,-7.395902669920864e-05,0.0,0.0,0.002,0.0
111,d_btw_cntr_SgAsNd,150,0.16301234786004973,-7.395902669920864e-05,0.0,0.0,0.002,0.0
112,d_btw_cntr_SgAsNd,200,0.2040192509214973,-7.395902669920864e-05,0.0,0.0,0.002,0.0
113,d_btw_cntr_SgAsNd,300,0.18659836251164383,-7.395902669920864e-05,0.0,0.0,0.002,0.0
114,d_btw_cntr_SgAsNd,400,0.15284044434032729,-7.395902669920864e-05,0.0,0.0,0.002,0.0
115,d_clo_cntr_SgAsNd,100,0.7038569174155904,-7.395902669920864e-05,0.0,0.0,0.002,0.0
116,d_clo_cntr_SgAsNd,150,0.6703226789818965,-7.395902669920864e-05,0.0,0.0,0.002,0.0
117,d_clo_cntr_SgAsNd,200,0.6495491012086907,-7.395902669920864e-05,0.0,0.0,0.002,0.0
118,d_clo_cntr_SgAsNd,300,0.6234276575781544,-7.395902669920864e-05,0.0,0.0,0.002,0.0
119,d_clo_cntr_SgAsNd,400,0.5954447339963976,-7.395902669920864e-05,0.0,0.0,0.002,0.0
120,d_far_cntr_SgAsNd,100,0.2712629685780148,-7.395902669920864e-05,0.0,0.0,0.002,0.0
121,d_far_cntr_SgAsNd,150,0.23225894273084796,-7.395902669920864e-05,0.0,0.0,0.002,0.0
