,column,db_nb,I,EI,p_norm,p_rand,z_norm,z_rand,p_sim,p_z_sim
0,SHAPE_Length,10,0.6627859117156947,-7.395902669920864e-05,0.0009824211411042505,0.0009569299993361646,3.485504168077908,3.492531589139401,0.02,0.00010738851428770957
1,SHAPE_Length,50,0.43494932349118515,-7.395902669920864e-05,0.0,0.0,21.266371692715776,21.309109775166736,0.002,0.0
2,SHAPE_Length,100,0.18902293344512253,-7.395902669920864e-05,0.0,0.0,24.896633520126436,24.94564908922205,0.002,0.0
3,SHAPE_Length,150,0.14821283859954534,-7.395902669920864e-05,0.0,0.0,29.34333058063786,29.399341420067046,0.002,0.0
4,SHAPE_Length,200,0.13204478844468057,-7.395902669920864e-05,0.0,0.0,33.70884064116754,33.77078033404158,0.002,0.0
5,SHAPE_Length,300,0.1168616435023568,-7.395902669920864e-05,0.0,0.0,42.021767412068584,42.09158480170402,0.002,0.0
6,SHAPE_Length,400,0.10278250824976246,-7.395902669920864e-05,0.0,0.0,46.66637116653569,46.73407097776036,0.002,0.0
7,DIRECTIONALITY_Bi-direction,10,0.6526573068867658,-7.395902669920864e-05,0.0011972125680137502,0.00016234822602845256,3.432245106990824,3.9409069476937875,0.006,0.0007535131961950992
8,DIRECTIONALITY_Bi-direction,50,0.3592287861014406,-7.395902669920864e-05,0.0,0.0,17.564728223009556,20.167612589624085,0.002,0.0
9,DIRECTIONALITY_Bi-direction,100,0.3000524020249638,-7.395902669920864e-05,0.0,0.0,39.514853592561614,45.3688578935843,0.002,0.0
10,DIRECTIONALITY_Bi-direction,150,0.2828110250677825,-7.395902669920864e-05,0.0,0.0,55.97792748552649,64.26618515113013,0.002,0.0
11,DIRECTIONALITY_Bi-direction,200,0.26820016314563233,-7.395902669920864e-05,0.0,0.0,68.44758829109564,78.57484674745159,0.002,0.0
12,DIRECTIONALITY_Bi-direction,300,0.2443173218682026,-7.395902669920864e-05,0.0,0.0,87.82401032013556,100.79488045335358,0.002,0.0
13,DIRECTIONALITY_Bi-direction,400,0.22386192250479736,-7.395902669920864e-05,0.0,0.0,101.600562820863,116.57383505697533,0.002,0.0
14,DIRECTIONALITY_one-way,10,0.5331122730722313,-7.395902669920864e-05,0.010105745090580154,0.0032357392080748504,2.8036436000585905,3.1526657182538638,0.018,0.003667521225146464
15,DIRECTIONALITY_one-way,50,0.33164038054538303,-7.395902669920864e-05,0.0,0.0,16.21605262208839,18.234580517630437,0.002,0.0
16,DIRECTIONALITY_one-way,100,0.28392461895072046,-7.395902669920864e-05,0.0,0.0,37.391458017717,42.044295435299055,0.002,0.0
17,DIRECTIONALITY_one-way,150,0.2717605720578089,-7.395902669920864e-05,0.0,0.0,53.79123857641169,60.480510744020705,0.002,0.0
18,DIRECTIONALITY_one-way,200,0.2567588298909068,-7.395902669920864e-05,0.0,0.0,65.52844103313682,73.67074117746951,0.002,0.0
19,DIRECTIONALITY_one-way,300,0.23183016052909172,-7.395902669920864e-05,0.0,0.0,83.33664652262395,93.67099479955584,0.002,0.0
