,column,knn,I,EI,p_norm,p_rand,z_norm,z_rand,p_sim,p_z_sim
0,SHAPE_Length,1,0.3656336349226495,-7.395902669920864e-05,0.0,0.0,34.61475803002168,34.68370534285787,0.002,0.0
1,SHAPE_Length,2,0.2944664392149559,-7.395902669920864e-05,0.0,0.0,37.61993283648709,37.69410559244372,0.002,0.0
2,SHAPE_Length,3,0.22066562330611608,-7.395902669920864e-05,0.0,0.0,33.78454274974507,33.85049299647615,0.002,0.0
3,SHAPE_Length,4,0.17957618264029362,-7.395902669920864e-05,0.0,0.0,31.262032194835662,31.322468935122856,0.002,0.0
4,SHAPE_Length,5,0.15282391453648797,-7.395902669920864e-05,0.0,0.0,29.49030485945557,29.54675532953959,0.002,0.0
5,SHAPE_Length,6,0.1324402000851242,-7.395902669920864e-05,0.0,0.0,27.840045412310825,27.892805869033435,0.002,0.0
6,SHAPE_Length,7,0.12137075248606109,-7.395902669920864e-05,0.0,0.0,27.55067684857052,27.602333809559614,0.002,0.0
7,SHAPE_Length,8,0.1100138851982301,-7.395902669920864e-05,0.0,0.0,26.680306443641175,26.729797954873177,0.002,0.0
8,SHAPE_Length,9,0.10296271044742429,-7.395902669920864e-05,0.0,0.0,26.47986466963719,26.528452031505,0.002,0.0
9,SHAPE_Length,10,0.09659069148724256,-7.395902669920864e-05,0.0,0.0,26.176134417139593,26.223640285628303,0.002,0.0
10,DIRECTIONALITY_Bi-direction,1,0.28287616435392254,-7.395902669920864e-05,0.0,0.0,26.781642540191626,30.750306835784126,0.002,0.0
11,DIRECTIONALITY_Bi-direction,2,0.28840138387763414,-7.395902669920864e-05,0.0,0.0,36.84527857580933,42.304171071992855,0.002,0.0
12,DIRECTIONALITY_Bi-direction,3,0.28455122363139446,-7.395902669920864e-05,0.0,0.0,43.562335080747566,50.01516138393231,0.002,0.0
13,DIRECTIONALITY_Bi-direction,4,0.2881599258578399,-7.395902669920864e-05,0.0,0.0,50.1573608865045,57.58570669486518,0.002,0.0
14,DIRECTIONALITY_Bi-direction,5,0.28681831362907007,-7.395902669920864e-05,0.0,0.0,55.33458631747582,63.528113441668125,0.002,0.0
15,DIRECTIONALITY_Bi-direction,6,0.28799118188411976,-7.395902669920864e-05,0.0,0.0,60.51992223633531,69.47952487447613,0.002,0.0
16,DIRECTIONALITY_Bi-direction,7,0.2840654528515801,-7.395902669920864e-05,0.0,0.0,64.45923432226881,74.000058187979,0.002,0.0
17,DIRECTIONALITY_Bi-direction,8,0.2798836764029023,-7.395902669920864e-05,0.0,0.0,67.84904870366708,77.88955023817395,0.002,0.0
18,DIRECTIONALITY_Bi-direction,9,0.27498013886553707,-7.395902669920864e-05,0.0,0.0,70.6874098919191,81.14578136981709,0.002,0.0
19,DIRECTIONALITY_Bi-direction,10,0.2694824401534631,-7.395902669920864e-05,0.0,0.0,72.99405212169468,83.79148163024418,0.002,0.0
20,DIRECTIONALITY_one-way,1,0.26020088215748644,-7.395902669920864e-05,0.0,0.0,24.635393953948693,27.701810117851345,0.002,0.0
21,DIRECTIONALITY_one-way,2,0.2691636985657791,-7.395902669920864e-05,0.0,0.0,34.38816086400504,38.66758540553255,0.002,0.0
22,DIRECTIONALITY_one-way,3,0.2677057346137644,-7.395902669920864e-05,0.0,0.0,40.9841063016498,46.083255691649576,0.002,0.0
23,DIRECTIONALITY_one-way,4,0.27449204536479216,-7.395902669920864e-05,0.0,0.0,47.778928473125944,53.72222475881282,0.002,0.0
24,DIRECTIONALITY_one-way,5,0.2734157626753965,-7.395902669920864e-05,0.0,0.0,52.749558126387996,59.30975134307371,0.002,0.0
25,DIRECTIONALITY_one-way,6,0.27569496740365906,-7.395902669920864e-05,0.0,0.0,57.93659701411009,65.14031939405442,0.002,0.0
26,DIRECTIONALITY_one-way,7,0.27333196248039054,-7.395902669920864e-05,0.0,0.0,62.02425859553397,69.73445437921615,0.002,0.0
27,DIRECTIONALITY_one-way,8,0.26936048561217213,-7.395902669920864e-05,0.0,0.0,65.29870395817514,73.41408401432052,0.002,0.0
28,DIRECTIONALITY_one-way,9,0.2652699173130555,-7.395902669920864e-05,0.0,0.0,68.19193566964253,76.66493520419279,0.002,0.0
29,DIRECTIONALITY_one-way,10,0.25945158279043934,-7.395902669920864e-05,0.0,0.0,70.27776370335715,79.00793059963132,0.002,0.0
30,STREETTYPE_AVE,1,0.0682913838731734,-7.395902669920864e-05,1.9486812163904688e-10,2.651212582804874e-13,6.470879580494328,7.40361820606045,0.002,4.936850928061176e-11
31,STREETTYPE_AVE,2,0.12282740997036995,-7.395902669920864e-05,0.0,0.0,15.697477408137008,17.95972685303393,0.002,0.0
32,STREETTYPE_AVE,3,0.15746809604004688,-7.395902669920864e-05,0.0,0.0,24.112061090431496,27.586299248790603,0.002,0.0
33,STREETTYPE_AVE,4,0.1783893275001899,-7.395902669920864e-05,0.0,0.0,31.055500191820016,35.529345338361516,0.002,0.0
34,STREETTYPE_AVE,5,0.1837287430040266,-7.395902669920864e-05,0.0,0.0,35.45109942054049,40.55717769947963,0.002,0.0
35,STREETTYPE_AVE,6,0.1868403023991018,-7.395902669920864e-05,0.0,0.0,39.2690227307079,44.92389187401825,0.002,0.0
36,STREETTYPE_AVE,7,0.18170689765890402,-7.395902669920864e-05,0.0,0.0,41.23840039979963,47.17561977464761,0.002,0.0
37,STREETTYPE_AVE,8,0.17759187359130849,-7.395902669920864e-05,0.0,0.0,43.058149536728735,49.25607054014164,0.002,0.0
