,STREETTYPE_CRES_neighbor,crime_mtd_GUN_neighbor,crime_mtd_OTHERS_neighbor,crime_ofn_ASSAULT W/DANGEROUS WEAPON_neighbor,crime_ofn_BURGLARY_neighbor,crime_ofn_ROBBERY_neighbor,crime_ofn_THEFT F/AUTO_neighbor
0,0.0,10.285714285714286,82.0,11.714285714285715,6.0,19.0,24.857142857142854
1,0.0,5.125,74.5,6.125,8.75,10.25,25.0
2,0.0,4.2,97.7,7.2,10.3,8.2,30.1
3,0.0,4.75,132.125,9.5,10.75,10.125,35.375
4,0.0,4.25,125.125,8.25,8.75,10.625,32.5
5,0.0,2.6666666666666665,91.11111111111113,4.5555555555555545,6.888888888888888,7.333333333333332,30.88888888888889
6,0.0,1.6666666666666667,62.555555555555564,2.333333333333333,6.0,4.111111111111111,28.11111111111111
7,0.0,1.0,43.0,1.0,5.0,2.1666666666666665,25.33333333333333
8,0.0,0.8,37.0,0.8,3.0,3.4,21.4
9,0.0,0.5555555555555556,42.66666666666666,0.5555555555555556,2.555555555555556,3.4444444444444446,26.555555555555557
10,0.0,10.857142857142858,129.28571428571428,18.428571428571427,5.857142857142858,17.285714285714285,51.14285714285714
11,0.0,4.230769230769232,87.0,8.0,7.9230769230769225,8.615384615384615,30.538461538461537
12,0.0,2.933333333333333,81.6,3.2666666666666666,6.2,5.933333333333334,29.466666666666665
13,0.0,10.25,148.75,12.25,8.5,17.0,79.75
14,0.0,13.0,127.75,19.375,6.5,19.375,48.125
15,0.0,5.1,122.4,10.1,5.8,10.6,60.9
16,0.0,11.625,87.5,13.375,8.125,19.125,25.25
17,0.0,9.666666666666666,79.22222222222223,10.111111111111109,6.111111111111112,17.333333333333332,24.33333333333333
18,0.0,8.0,79.5,7.5,8.5,11.0,24.33333333333333
19,0.0,5.7142857142857135,106.14285714285714,6.428571428571429,9.142857142857142,8.0,31.0
20,0.0,5.727272727272728,109.8181818181818,5.727272727272728,6.636363636363638,8.909090909090908,29.181818181818183
21,0.0,5.769230769230768,108.84615384615385,5.615384615384616,6.538461538461537,9.0,30.615384615384613
22,0.0,5.533333333333332,97.06666666666666,4.866666666666666,5.533333333333332,8.6,28.6
23,0.0,3.7857142857142856,77.07142857142857,3.2142857142857144,5.357142857142857,6.0,28.5
24,0.0,3.3076923076923075,71.15384615384616,2.4615384615384617,5.307692307692308,5.230769230769232,28.461538461538463
25,0.0,1.4,32.0,4.0,4.0,1.4,15.8
26,0.0,1.1111111111111112,36.444444444444436,3.555555555555556,5.222222222222221,1.2222222222222223,18.11111111111111
27,0.0,0.4444444444444444,37.111111111111114,3.2222222222222223,5.888888888888888,0.5555555555555556,21.11111111111111
28,0.0,0.3,37.9,2.5,5.9,0.4,22.8
29,0.0,0.7,41.4,1.5,5.5,0.7,26.3
30,0.0,0.6666666666666666,41.0,0.5,5.166666666666667,1.1666666666666667,25.83333333333333
31,0.0,0.7777777777777778,43.66666666666666,1.0,1.8888888888888888,3.4444444444444446,28.444444444444446
32,0.0,0.5555555555555556,53.111111111111114,0.6666666666666666,3.111111111111111,4.0,33.888888888888886
