,column,knn,I,EI,p_norm,p_rand,p_sim,p_z_sim
50,STREETTYPE_CIR,1,0.6755073685404439,-7.395902669920864e-05,0.0,0.0,0.002,0.0
51,STREETTYPE_CIR,2,0.6303807616263634,-7.395902669920864e-05,0.0,0.0,0.002,0.0
52,STREETTYPE_CIR,3,0.551444192682757,-7.395902669920864e-05,0.0,0.0,0.002,0.0
53,STREETTYPE_CIR,4,0.5237084754326132,-7.395902669920864e-05,0.0,0.0,0.002,0.0
54,STREETTYPE_CIR,5,0.4835888671497397,-7.395902669920864e-05,0.0,0.0,0.002,0.0
55,STREETTYPE_CIR,6,0.4512199271523692,-7.395902669920864e-05,0.0,0.0,0.002,0.0
56,STREETTYPE_CIR,7,0.43199742518129974,-7.395902669920864e-05,0.0,0.0,0.002,0.0
57,STREETTYPE_CIR,8,0.41152737715017795,-7.395902669920864e-05,0.0,0.0,0.002,0.0
58,STREETTYPE_CIR,9,0.39628945089888074,-7.395902669920864e-05,0.0,0.0,0.002,0.0
59,STREETTYPE_CIR,10,0.3771502295499482,-7.395902669920864e-05,0.0,0.0,0.002,0.0
60,STREETTYPE_CRES,1,0.9406574907543089,-7.395902669920864e-05,0.0,0.0,0.002,0.0
61,STREETTYPE_CRES,2,0.9406574907543089,-7.395902669920864e-05,0.0,0.0,0.002,0.0
62,STREETTYPE_CRES,3,0.9111962993975761,-7.395902669920864e-05,0.0,0.0,0.002,0.0
63,STREETTYPE_CRES,4,0.8964657037192101,-7.395902669920864e-05,0.0,0.0,0.002,0.0
64,STREETTYPE_CRES,5,0.8934207312818366,-7.395902669920864e-05,0.0,0.0,0.002,0.0
65,STREETTYPE_CRES,6,0.9012440978763987,-7.395902669920864e-05,0.0,0.0,0.002,0.0
66,STREETTYPE_CRES,7,0.9025987619246988,-7.395902669920864e-05,0.0,0.0,0.002,0.0
67,STREETTYPE_CRES,8,0.8962988887725908,-7.395902669920864e-05,0.0,0.0,0.002,0.0
68,STREETTYPE_CRES,9,0.8881063002504282,-7.395902669920864e-05,0.0,0.0,0.002,0.0
69,STREETTYPE_CRES,10,0.8756550484962672,-7.395902669920864e-05,0.0,0.0,0.002,0.0
70,STREETTYPE_CT,1,0.4497637639126448,-7.395902669920864e-05,0.0,0.0,0.002,0.0
71,STREETTYPE_CT,2,0.4099496789866389,-7.395902669920864e-05,0.0,0.0,0.002,0.0
72,STREETTYPE_CT,3,0.40062698825843024,-7.395902669920864e-05,0.0,0.0,0.002,0.0
73,STREETTYPE_CT,4,0.4062073324905183,-7.395902669920864e-05,0.0,0.0,0.002,0.0
74,STREETTYPE_CT,5,0.3827550135098289,-7.395902669920864e-05,0.0,0.0,0.002,0.0
75,STREETTYPE_CT,6,0.36944151111772155,-7.395902669920864e-05,0.0,0.0,0.002,0.0
76,STREETTYPE_CT,7,0.35242967983653656,-7.395902669920864e-05,0.0,0.0,0.002,0.0
77,STREETTYPE_CT,8,0.3577996331275874,-7.395902669920864e-05,0.0,0.0,0.002,0.0
78,STREETTYPE_CT,9,0.34267568974492446,-7.395902669920864e-05,0.0,0.0,0.002,0.0
79,STREETTYPE_CT,10,0.339999107607645,-7.395902669920864e-05,0.0,0.0,0.002,0.0
80,STREETTYPE_DR,1,0.2248573781410323,-7.395902669920864e-05,0.0,0.0,0.002,0.0
81,STREETTYPE_DR,2,0.2380500330886967,-7.395902669920864e-05,0.0,0.0,0.002,0.0
82,STREETTYPE_DR,3,0.248416849487923,-7.395902669920864e-05,0.0,0.0,0.002,0.0
83,STREETTYPE_DR,4,0.251896349391104,-7.395902669920864e-05,0.0,0.0,0.002,0.0
84,STREETTYPE_DR,5,0.2515994288741969,-7.395902669920864e-05,0.0,0.0,0.002,0.0
85,STREETTYPE_DR,6,0.2527213945910442,-7.395902669920864e-05,0.0,0.0,0.002,0.0
86,STREETTYPE_DR,7,0.25615659510773653,-7.395902669920864e-05,0.0,0.0,0.002,0.0
87,STREETTYPE_DR,8,0.2504647445786669,-7.395902669920864e-05,0.0,0.0,0.002,0.0
88,STREETTYPE_DR,9,0.24712752518535686,-7.395902669920864e-05,0.0,0.0,0.002,0.0
89,STREETTYPE_DR,10,0.24030038365865228,-7.395902669920864e-05,0.0,0.0,0.002,0.0
90,STREETTYPE_LN,1,0.07939405731617581,-7.395902669920864e-05,1.0791367799356522e-13,8.837375276016246e-14,0.002,1.0658141036401503e-13
91,STREETTYPE_LN,2,0.12270267283851274,-7.395902669920864e-05,0.0,0.0,0.002,0.0
92,STREETTYPE_LN,3,0.1192425529620671,-7.395902669920864e-05,0.0,0.0,0.002,0.0
93,STREETTYPE_LN,4,0.1283024140501579,-7.395902669920864e-05,0.0,0.0,0.002,0.0
94,STREETTYPE_LN,5,0.14016015732282167,-7.395902669920864e-05,0.0,0.0,0.002,0.0
95,STREETTYPE_LN,6,0.1337656347961442,-7.395902669920864e-05,0.0,0.0,0.002,0.0
96,STREETTYPE_LN,7,0.1323235051180591,-7.395902669920864e-05,0.0,0.0,0.002,0.0
97,STREETTYPE_LN,8,0.13104643537457453,-7.395902669920864e-05,0.0,0.0,0.002,0.0
98,STREETTYPE_LN,9,0.12405462135343782,-7.395902669920864e-05,0.0,0.0,0.002,0.0
99,STREETTYPE_LN,10,0.12065638719606189,-7.395902669920864e-05,0.0,0.0,0.002,0.0
100,STREETTYPE_OTHER,1,0.1099262769878884,-7.395902669920864e-05,0.0,0.0,0.006,0.0
101,STREETTYPE_OTHER,2,0.054444773565034243,-7.395902669920864e-05,6.644906846986487e-12,6.4432903457145585e-12,0.004,0.0
102,STREETTYPE_OTHER,3,0.03580283482534668,-7.395902669920864e-05,7.993281148088727e-08,7.844535998557944e-08,0.014,5.719821061234143e-09
103,STREETTYPE_OTHER,4,0.05444477356503424,-7.395902669920864e-05,0.0,0.0,0.002,0.0
104,STREETTYPE_OTHER,5,0.04330404160084256,-7.395902669920864e-05,0.0,0.0,0.002,4.440892098500626e-16
105,STREETTYPE_OTHER,6,0.03593859706863263,-7.395902669920864e-05,7.682743330406083e-14,7.460698725481052e-14,0.002,6.661338147750939e-16
106,STREETTYPE_OTHER,7,0.062370702625441955,-7.395902669920864e-05,0.0,0.0,0.002,0.0
107,STREETTYPE_OTHER,8,0.061389218009478705,-7.395902669920864e-05,0.0,0.0,0.002,0.0
108,STREETTYPE_OTHER,9,0.08530897109589841,-7.395902669920864e-05,0.0,0.0,0.002,0.0
109,STREETTYPE_OTHER,10,0.0766373749341759,-7.395902669920864e-05,0.0,0.0,0.002,0.0
110,STREETTYPE_PKWY,1,0.07747624703087885,-7.395902669920864e-05,4.263256414560601e-13,3.8546943414985435e-13,0.002,4.440892098500626e-16
111,STREETTYPE_PKWY,2,0.11766181710213773,-7.395902669920864e-05,0.0,0.0,0.002,0.0
112,STREETTYPE_PKWY,3,0.13098277909738712,-7.395902669920864e-05,0.0,0.0,0.002,0.0
113,STREETTYPE_PKWY,4,0.13768037410926362,-7.395902669920864e-05,0.0,0.0,0.002,0.0
