column,,column,db_nb,I,p_norm,p_rand,z_norm,z_rand,ftr_type
311_PEDESTRIAN SIGNAL RE,778,311_PEDESTRIAN SIGNAL RE,50,0.7248336068546171,0.0,0.0,35.437537158163806,35.44255186380506,311
311_TRAFFIC SIGNAL ISSUE,1037,311_TRAFFIC SIGNAL ISSUE,50,0.7147223127364192,0.0,0.0,34.94324053622811,35.37754283946152,311
crime_ofn_HOMICIDE,1269,crime_ofn_HOMICIDE,100,0.708336598404571,0.0,0.0,93.26984594833041,95.3206363429348,crime
ud_eig_cntr_SgAsNd,254,ud_eig_cntr_SgAsNd,100,0.6882436253302673,0.0,0.0,90.62439059249873,90.63976564255512,net_SaN
ud_hub_score_SgAsNd,268,ud_hub_score_SgAsNd,100,0.6882410524900676,0.0,0.0,90.6240518504987,90.63942676006974,net_SaN
ud_auth_score_SgAsNd,219,ud_auth_score_SgAsNd,100,0.6882403700137419,0.0,0.0,90.62396199517244,90.63933687163788,net_SaN
311_ROADWAY MARKINGS,826,311_ROADWAY MARKINGS,10,0.6845684872126117,0.00063632889140397,0.0005826001749782428,3.6000430940818955,3.6229163149625387,311
residence,485,residence,100,0.6691926483752233,0.0,0.0,88.11612519876265,88.19373322750346,poi
v0rq_Red light running,1212,v0rq_Red light running,50,0.6650496209975958,0.0,0.0,32.5149614809523,32.750286507074904,v0
SHAPE_Length,0,SHAPE_Length,10,0.6627859117156947,0.0009824211411042505,0.0009569299993361646,3.485504168077908,3.492531589139401,seg_attr
DIRECTIONALITY_Bi-direction,7,DIRECTIONALITY_Bi-direction,10,0.6526573068867658,0.0011972125680137502,0.00016234822602845256,3.432245106990824,3.9409069476937875,seg_attr
professional service,465,professional service,150,0.6370459147724549,0.0,0.0,126.0747374388917,127.03830658600671,poi
311_MARKING MODIFICATION,729,311_MARKING MODIFICATION,50,0.6320917350729247,0.0,0.0,30.90379564122195,31.045373422364122,311
311_ANC RESOLUTION,603,311_ANC RESOLUTION,50,0.629659301120791,0.0,0.0,30.78488466191838,30.791521150178518,311
schools&university,493,schools&university,150,0.5998303972374507,0.0,0.0,118.71044573362744,119.0892336517109,poi
crash_1stharm_Other Non-fixed Object,561,crash_1stharm_Other Non-fixed Object,50,0.5813091265975859,0.0,0.0,28.421257646677226,28.76701657044738,crash
