,STREETTYPE_CRES_neighbor,ud_far_cntr_SgAsNd_neighbor,ud_node_ecc_SgAsNd_neighbor,poi_total_neighbor,crime_total_neighbor
0,0.0,38.446976143171426,81.71428571428571,3.0,95.28571428571428
1,0.0,38.40688512058749,82.375,2.875,82.25
2,0.0,38.751904723770004,83.1,2.4,106.2
3,0.0,39.3301256835125,84.125,5.75,143.625
4,0.0,40.410048696937494,85.75,4.625,136.375
5,0.0,41.14099090117778,86.66666666666669,1.0,97.77777777777777
6,0.0,41.763042081055566,87.55555555555556,1.1111111111111112,65.8888888888889
7,0.0,42.09884216743334,88.0,1.6666666666666667,44.33333333333334
8,0.0,48.98694483116,99.0,3.4,39.2
9,0.0,49.157978482255565,100.44444444444444,2.555555555555556,45.111111111111114
10,0.0,31.900497234585718,58.85714285714285,10.142857142857142,148.42857142857142
11,0.0,39.54316269732307,83.61538461538461,4.153846153846153,96.84615384615385
12,0.0,41.107056501293336,87.2,2.0,87.06666666666666
13,0.0,31.770461081775004,57.25,11.0,165.5
14,0.0,31.674377682725,58.75,9.25,149.125
15,0.0,26.688676985289998,48.8,22.9,132.9
16,0.0,38.70247084637501,82.375,2.875,102.75
17,0.0,38.43073663755556,82.33333333333333,3.555555555555556,90.88888888888887
18,0.0,38.4852355962,83.16666666666667,4.166666666666667,88.83333333333331
19,0.0,38.87514583281428,84.0,3.4285714285714284,114.42857142857143
20,0.0,39.4167358819,85.18181818181819,6.0,118.36363636363636
21,0.0,39.67064107717693,85.69230769230771,5.769230769230768,117.46153846153848
22,0.0,40.17103441962,86.4,4.8,105.13333333333334
23,0.0,41.04413120674286,87.64285714285714,2.357142857142857,82.57142857142857
24,0.0,41.2970919236,87.92307692307692,1.7692307692307692,75.84615384615384
25,0.0,44.17883422826,93.2,2.8,34.8
26,0.0,43.79055463768889,93.0,2.888888888888889,39.22222222222222
27,0.0,43.74701631751112,93.66666666666669,3.0,39.66666666666666
28,0.0,43.71676067957001,94.1,3.8,40.1
29,0.0,43.88810678696,94.8,5.2,43.2
30,0.0,44.2150758713,95.5,5.5,42.0
31,0.0,48.4639719029889,100.11111111111113,3.4444444444444446,46.444444444444436
32,0.0,48.96409934133335,100.88888888888887,2.0,55.444444444444436
33,0.0,48.68146307955001,101.5,3.125,60.0
34,0.0,32.7843920889625,58.125,30.375,164.75
35,0.0,32.46648526546249,57.875,16.125,152.875
36,0.0,32.28298604652727,63.81818181818182,9.272727272727273,196.3636363636364
37,0.0,32.50784643245384,64.61538461538461,9.0,198.46153846153842
38,0.0,33.14018751051818,66.54545454545455,9.545454545454543,183.72727272727272
39,0.0,33.78201543836154,67.76923076923077,7.9230769230769225,158.23076923076925
40,0.0,33.927365496937504,68.0625,7.125,155.5
41,0.0,34.33585043899286,68.78571428571429,6.2857142857142865,141.5
42,0.0,34.4531832165,69.3125,5.875,143.5
43,0.0,34.56948048324001,69.8,5.2,152.1
44,0.0,34.30623634027273,69.54545454545455,4.090909090909091,165.54545454545453
45,0.0,34.060082137260004,69.4,4.6,174.1
46,0.0,33.69963007018889,69.1111111111111,4.111111111111111,166.88888888888889
