,STREETTYPE_CRES_neighbor,crime_total_neighbor
0,0.0,95.28571428571428
1,0.0,82.25
2,0.0,106.2
3,0.0,143.625
4,0.0,136.375
5,0.0,97.77777777777777
6,0.0,65.8888888888889
7,0.0,44.33333333333334
8,0.0,39.2
9,0.0,45.111111111111114
10,0.0,148.42857142857142
11,0.0,96.84615384615385
12,0.0,87.06666666666666
13,0.0,165.5
14,0.0,149.125
15,0.0,132.9
16,0.0,102.75
17,0.0,90.88888888888887
18,0.0,88.83333333333331
19,0.0,114.42857142857143
20,0.0,118.36363636363636
21,0.0,117.46153846153848
22,0.0,105.13333333333334
23,0.0,82.57142857142857
24,0.0,75.84615384615384
25,0.0,34.8
26,0.0,39.22222222222222
27,0.0,39.66666666666666
28,0.0,40.1
29,0.0,43.2
30,0.0,42.0
31,0.0,46.444444444444436
32,0.0,55.444444444444436
33,0.0,60.0
34,0.0,164.75
35,0.0,152.875
36,0.0,196.3636363636364
37,0.0,198.46153846153842
38,0.0,183.72727272727272
39,0.0,158.23076923076925
40,0.0,155.5
41,0.0,141.5
42,0.0,143.5
43,0.0,152.1
44,0.0,165.54545454545453
45,0.0,174.1
46,0.0,166.88888888888889
47,0.0,151.33333333333334
48,0.0,151.42857142857142
49,0.0,132.83333333333334
50,0.0,64.22222222222223
51,0.0,73.0
52,0.0,1.5714285714285714
53,0.0,8.125
54,0.0,12.5
55,0.0,15.214285714285715
56,0.0,24.875
57,0.0,28.466666666666665
58,0.0,102.44444444444444
59,0.0,114.44444444444444
60,0.0,123.16666666666669
61,0.0,94.5
62,0.0,178.75
63,0.0,153.1
64,0.0,174.27272727272728
65,0.0,214.9
66,0.0,240.6
67,0.0,232.0
68,0.0,225.16666666666663
69,0.0,220.28571428571428
70,0.0,193.25
71,0.0,193.125
72,0.0,191.66666666666663
73,0.0,203.57142857142856
74,0.0,191.0
75,0.0,196.72727272727272
76,0.0,192.27272727272728
77,0.0,197.63636363636363
78,0.0,199.22222222222226
79,0.0,187.0
80,0.0,170.28571428571428
81,0.0,158.0
82,0.0,129.66666666666666
83,0.0,111.66666666666669
84,,
85,,
86,0.0,86.0
87,0.0,48.36363636363637
88,0.0,43.88235294117647
89,0.0,63.5
90,0.0,60.95
91,0.0,56.5
92,0.0,50.27777777777778
93,0.0,38.642857142857146
94,0.0,41.77777777777778
95,0.0,7.666666666666668
96,0.0,7.5
97,0.0,82.83333333333333
98,0.0,93.125
99,0.0,122.0
100,0.0,267.54545454545456
101,0.0,383.7
102,0.0,448.5
103,0.0,493.4285714285714
104,0.0,511.2
105,0.0,72.3
106,0.0,68.5
107,0.0,72.8
108,0.0,83.6
109,0.0,107.57142857142857
110,0.0,77.57142857142857
111,0.0,61.05263157894736
112,0.0,54.11764705882353
113,0.0,48.66666666666666
114,0.0,47.72727272727273
115,0.0,44.555555555555564
116,0.0,48.33333333333334
117,0.0,45.714285714285715
118,0.0,45.33333333333334
119,0.0,48.5
120,0.0,75.0
121,0.0,100.2
122,0.0,100.5
123,0.0,103.0
124,0.0,117.44444444444444
125,0.0,123.44444444444444
