,STREETTYPE_CRES_neighbor,ud_far_cntr_SgAsNd_neighbor,ud_node_ecc_SgAsNd_neighbor,cycling facilities_neighbor,crime_mtd_GUN_neighbor,crime_mtd_KNIFE_neighbor,crime_mtd_OTHERS_neighbor,crime_ofn_ASSAULT W/DANGEROUS WEAPON_neighbor,crime_ofn_BURGLARY_neighbor,crime_ofn_MOTOR VEHICLE THEFT_neighbor,crime_ofn_ROBBERY_neighbor,crime_ofn_SEX ABUSE_neighbor,crime_ofn_THEFT F/AUTO_neighbor,crime_ofn_THEFT/OTHER_neighbor
0,0.0,38.446976143171426,81.71428571428571,1.8571428571428568,10.285714285714286,3.0,82.0,11.714285714285715,6.0,12.0,19.0,1.8571428571428568,24.857142857142854,19.857142857142858
1,0.0,38.40688512058749,82.375,1.875,5.125,2.625,74.5,6.125,8.75,11.75,10.25,1.25,25.0,19.125
2,0.0,38.751904723770004,83.1,0.6,4.2,4.3,97.7,7.2,10.3,15.9,8.2,1.8,30.1,32.7
3,0.0,39.3301256835125,84.125,0.0,4.75,6.75,132.125,9.5,10.75,19.875,10.125,2.75,35.375,55.25
4,0.0,40.410048696937494,85.75,0.0,4.25,7.0,125.125,8.25,8.75,15.875,10.625,2.875,32.5,57.5
5,0.0,41.14099090117778,86.66666666666669,0.1111111111111111,2.6666666666666665,4.0,91.11111111111113,4.5555555555555545,6.888888888888888,10.111111111111109,7.333333333333332,2.1111111111111107,30.88888888888889,35.888888888888886
6,0.0,41.763042081055566,87.55555555555556,0.3333333333333333,1.6666666666666667,1.6666666666666667,62.555555555555564,2.333333333333333,6.0,5.666666666666668,4.111111111111111,1.1111111111111112,28.11111111111111,18.555555555555557
7,0.0,42.09884216743334,88.0,0.5,1.0,0.3333333333333333,43.0,1.0,5.0,3.333333333333333,2.1666666666666665,0.5,25.33333333333333,7.0
8,0.0,48.98694483116,99.0,2.8,0.8,1.4,37.0,0.8,3.0,3.2,3.4,0.0,21.4,7.4
9,0.0,49.157978482255565,100.44444444444444,2.2222222222222223,0.5555555555555556,1.8888888888888888,42.66666666666666,0.5555555555555556,2.555555555555556,2.888888888888889,3.4444444444444446,0.0,26.555555555555557,9.111111111111109
10,0.0,31.900497234585718,58.85714285714285,6.2857142857142865,10.857142857142858,8.285714285714286,129.28571428571428,18.428571428571427,5.857142857142858,13.857142857142858,17.285714285714285,4.142857142857143,51.14285714285714,37.0
11,0.0,39.54316269732307,83.61538461538461,0.6923076923076923,4.230769230769232,5.615384615384616,87.0,8.0,7.9230769230769225,12.923076923076925,8.615384615384615,0.6153846153846154,30.538461538461537,28.23076923076923
12,0.0,41.107056501293336,87.2,0.5333333333333333,2.933333333333333,2.533333333333333,81.6,3.2666666666666666,6.2,9.8,5.933333333333334,2.0,29.466666666666665,30.4
13,0.0,31.770461081775004,57.25,4.0,10.25,6.5,148.75,12.25,8.5,19.75,17.0,0.5,79.75,27.25
14,0.0,31.674377682725,58.75,5.75,13.0,8.375,127.75,19.375,6.5,12.875,19.375,3.125,48.125,38.75
15,0.0,26.688676985289998,48.8,17.6,5.1,5.4,122.4,10.1,5.8,7.4,10.6,1.1,60.9,36.3
16,0.0,38.70247084637501,82.375,1.125,11.625,3.625,87.5,13.375,8.125,14.125,19.125,1.875,25.25,20.875
17,0.0,38.43073663755556,82.33333333333333,2.333333333333333,9.666666666666666,2.0,79.22222222222223,10.111111111111109,6.111111111111112,12.0,17.333333333333332,1.8888888888888888,24.33333333333333,19.11111111111111
18,0.0,38.4852355962,83.16666666666667,1.5,8.0,1.3333333333333333,79.5,7.5,8.5,11.666666666666664,11.0,1.6666666666666667,24.33333333333333,24.16666666666667
19,0.0,38.87514583281428,84.0,0.8571428571428571,5.7142857142857135,2.571428571428572,106.14285714285714,6.428571428571429,9.142857142857142,16.714285714285715,8.0,2.8571428571428568,31.0,40.285714285714285
20,0.0,39.4167358819,85.18181818181819,1.6363636363636365,5.727272727272728,2.8181818181818183,109.8181818181818,5.727272727272728,6.636363636363638,17.90909090909091,8.909090909090908,3.0909090909090913,29.181818181818183,46.90909090909091
21,0.0,39.67064107717693,85.69230769230771,1.9230769230769231,5.769230769230768,2.8461538461538463,108.84615384615385,5.615384615384616,6.538461538461537,18.0,9.0,2.9230769230769234,30.615384615384613,44.769230769230774
22,0.0,40.17103441962,86.4,1.6,5.533333333333332,2.533333333333333,97.06666666666666,4.866666666666666,5.533333333333332,15.866666666666667,8.6,2.333333333333333,28.6,39.333333333333336
23,0.0,41.04413120674286,87.64285714285714,0.9285714285714286,3.7857142857142856,1.7142857142857142,77.07142857142857,3.2142857142857144,5.357142857142857,11.642857142857142,6.0,1.6428571428571428,28.5,26.214285714285715
24,0.0,41.2970919236,87.92307692307692,0.6153846153846154,3.3076923076923075,1.3846153846153846,71.15384615384616,2.4615384615384617,5.307692307692308,9.846153846153848,5.230769230769232,1.4615384615384617,28.461538461538463,23.07692307692308
25,0.0,44.17883422826,93.2,1.4,1.4,1.4,32.0,4.0,4.0,2.0,1.4,0.0,15.8,7.6
26,0.0,43.79055463768889,93.0,2.1111111111111107,1.1111111111111112,1.6666666666666667,36.444444444444436,3.555555555555556,5.222222222222221,1.3333333333333333,1.2222222222222223,0.0,18.11111111111111,9.777777777777779
27,0.0,43.74701631751112,93.66666666666669,2.333333333333333,0.4444444444444444,2.1111111111111107,37.111111111111114,3.2222222222222223,5.888888888888888,2.1111111111111107,0.5555555555555556,0.0,21.11111111111111,6.777777777777778
28,0.0,43.71676067957001,94.1,2.8,0.3,1.9,37.9,2.5,5.9,2.6,0.4,0.0,22.8,5.9
29,0.0,43.88810678696,94.8,3.7,0.7,1.1,41.4,1.5,5.5,3.1,0.7,0.0,26.3,6.1
30,0.0,44.2150758713,95.5,4.0,0.6666666666666666,0.3333333333333333,41.0,0.5,5.166666666666667,2.833333333333333,1.1666666666666667,0.0,25.83333333333333,6.5
31,0.0,48.4639719029889,100.11111111111113,2.6666666666666665,0.7777777777777778,2.0,43.66666666666666,1.0,1.8888888888888888,2.4444444444444446,3.4444444444444446,0.0,28.444444444444446,9.222222222222221
32,0.0,48.96409934133335,100.88888888888887,1.2222222222222223,0.5555555555555556,1.7777777777777777,53.111111111111114,0.6666666666666666,3.111111111111111,4.111111111111111,4.0,0.0,33.888888888888886,9.666666666666666
33,0.0,48.68146307955001,101.5,0.125,0.5,0.75,58.75,0.375,3.375,4.125,3.0,0.0,42.25,6.875
34,0.0,32.7843920889625,58.125,23.125,2.625,4.375,157.75,7.375,1.125,5.875,9.75,0.875,27.375,111.375
35,0.0,32.46648526546249,57.875,11.0,4.75,6.5,141.625,10.0,2.875,9.5,14.625,0.625,46.375,68.0
36,0.0,32.28298604652727,63.81818181818182,3.727272727272727,10.090909090909092,3.1818181818181817,183.0909090909091,11.272727272727273,23.72727272727273,22.454545454545453,21.63636363636364,1.5454545454545454,47.45454545454545,68.27272727272727
37,0.0,32.50784643245384,64.61538461538461,2.9230769230769234,10.461538461538463,3.4615384615384617,184.53846153846158,11.538461538461537,21.615384615384613,22.30769230769231,22.538461538461537,1.2307692307692308,51.30769230769231,67.92307692307692
38,0.0,33.14018751051818,66.54545454545455,3.5454545454545454,10.545454545454543,3.1818181818181817,170.0,9.272727272727273,16.90909090909091,18.818181818181817,24.818181818181817,0.5454545454545454,49.18181818181818,64.18181818181819
39,0.0,33.78201543836154,67.76923076923077,2.5384615384615383,11.307692307692307,2.4615384615384617,144.46153846153842,6.846153846153847,13.153846153846152,13.923076923076925,24.923076923076927,0.5384615384615384,41.615384615384606,57.230769230769226
40,0.0,33.927365496937504,68.0625,2.4375,11.25,2.0625,142.1875,6.0625,13.75,13.8125,24.3125,0.5625,40.1875,56.8125
41,0.0,34.33585043899286,68.78571428571429,1.7142857142857142,10.785714285714288,1.3571428571428572,129.35714285714286,4.214285714285714,12.928571428571427,12.214285714285715,22.857142857142854,0.6428571428571429,35.0,53.57142857142857
