,db,I,EI,p_norm,p_rand,p_sim,p_z_sim,z_norm,z_rand,pcnt_islands
0,10,,-0.0022271714922048997,,,0.001,,,,1.0
1,50,0.906813307067055,-0.0022271714922048997,1.1844210825451285e-06,2.9830489189919263e-09,0.001,5.62137514092953e-07,4.858226105513263,5.932528327428828,0.8866666666666667
2,100,0.5628821754762954,-0.0022271714922048997,0.0,0.0,0.001,0.0,9.155715197354997,11.175890684645347,0.29555555555555557
3,150,0.5156576996194823,-0.0022271714922048997,0.0,0.0,0.001,0.0,12.14940052073428,14.820375728671987,0.05555555555555555
4,200,0.4531243521469372,-0.0022271714922048997,0.0,0.0,0.001,0.0,13.07842658666692,15.938739560680046,0.024444444444444446
5,300,0.35793567866601544,-0.0022271714922048997,0.0,0.0,0.001,0.0,14.231467320063631,17.29747473086178,0.008888888888888889
6,400,0.23654292890395104,-0.0022271714922048997,0.0,0.0,0.001,0.0,11.844820409737263,14.349942896250942,0.0022222222222222222
