,STREETTYPE_CRES_neighbor,d_auth_score_SgAsNd_neighbor,d_clo_cntr_SgAsNd_neighbor,d_hub_score_SgAsNd_neighbor,d_node_ecc_SgAsNd_neighbor,ud_auth_score_SgAsNd_neighbor,ud_clo_cntr_SgAsNd_neighbor,ud_eig_cntr_SgAsNd_neighbor,ud_far_cntr_SgAsNd_neighbor,ud_hub_score_SgAsNd_neighbor,ud_node_ecc_SgAsNd_neighbor,side_walk_both_neighbor,poi_total_neighbor,311_total_neighbor,311_total_not_parking_meter_neighbor,crime_total_neighbor
0,0.0,0.0010646856535177142,0.024131716704485717,0.0009197718484367144,86.57142857142857,7.116977228364285e-06,0.026011912687771428,1.8336674365385716e-07,38.446976143171426,5.566658745714287e-06,81.71428571428571,0.0,3.0,32.0,0.42857142857142855,95.28571428571428
1,0.0,0.0006293410088860499,0.02442102646105,0.0005244321285522501,86.375,7.734304498618749e-06,0.026039678065175,1.9336754415562497e-07,38.40688512058749,6.030213821108751e-06,82.375,0.0,2.875,52.875,0.375,82.25
2,0.0,0.00027417513530537,0.02416323207346,0.00025650740073642,87.3,5.790815029228e-06,0.02580654428275,1.4137929269272002e-07,38.751904723770004,4.503463865912e-06,83.1,0.0,2.4,38.7,0.9,106.2
3,0.0,9.119815244727626e-05,0.0238906533223375,7.843900080627501e-05,88.375,3.483365660045875e-06,0.0254318299602375,8.235218838972501e-08,39.3301256835125,2.6996827446843758e-06,84.125,0.0,5.75,37.75,1.375,143.625
4,0.0,3.9693805859387515e-05,0.023446786960600003,3.356515279588e-05,89.875,1.263119640990125e-06,0.024753271846674998,2.8171822956260002e-08,40.410048696937494,9.72653596942625e-07,85.75,0.0,4.625,35.0,0.625,136.375
5,0.0,1.856690592079667e-05,0.0231020648105,1.4675409009136665e-05,90.77777777777777,4.726362296372222e-07,0.024311405995622218,9.490792166487775e-09,41.14099090117778,3.5977071542877776e-07,86.66666666666669,0.0,1.0,31.33333333333333,1.3333333333333333,97.77777777777777
6,0.0,8.118158624559889e-06,0.022732881907511115,6.799987202897554e-06,91.66666666666669,2.0931842259604445e-07,0.023947744421422223,3.596093959361444e-09,41.763042081055566,1.5679762325898885e-07,87.55555555555556,0.0,1.1111111111111112,30.222222222222218,1.3333333333333333,65.8888888888889
7,0.0,4.6137572309745e-06,0.02241026335513334,4.325580993741834e-06,92.33333333333331,1.3715982698141663e-07,0.02375601779045,2.0852167389181668e-09,42.09884216743334,1.0157885077705e-07,88.0,0.0,1.6666666666666667,28.0,0.6666666666666666,44.33333333333334
8,0.0,2.06122442188e-06,0.01990149840666,1.6775639210380004e-06,103.0,1.1101425830924e-09,0.020414293144939998,2.78313416759e-12,48.98694483116,7.329322050365998e-10,99.0,0.8,3.4,14.6,0.0,39.2
9,0.0,1.5939726153337773e-06,0.019841277057266668,1.1833486338974446e-06,104.11111111111113,8.533339897638887e-10,0.0203447001775,2.4317252024066665e-12,49.157978482255565,5.718528451195556e-10,100.44444444444444,0.5555555555555556,2.555555555555556,11.444444444444445,0.0,45.111111111111114
10,0.0,2.113009371211429e-07,0.027880717841599997,1.765295410881429e-07,61.85714285714285,8.715355378390715e-09,0.03135640068635714,4.478743984628143e-11,31.900497234585718,6.089966043743572e-09,58.85714285714285,0.8571428571428571,10.142857142857142,48.57142857142857,29.0,148.42857142857142
11,0.0,6.547129922563153e-05,0.02352883444645385,5.6624612646166164e-05,88.38461538461539,1.7210742191278462e-06,0.025298986978423074,3.992700846821231e-08,39.54316269732307,1.3310205997068462e-06,83.61538461538461,0.0,4.153846153846153,28.923076923076927,0.7692307692307693,96.84615384615385
12,0.0,2.6473793793918663e-05,0.023348676137366672,2.309831568922067e-05,91.2,4.979961520521999e-07,0.02433257244867333,1.0128761084477333e-08,41.107056501293336,3.7980657998026656e-07,87.2,0.0,2.0,26.66666666666667,0.4,87.06666666666666
13,0.0,8.935534996827502e-07,0.028482787129075007,6.877285304537501e-07,60.0,5.6867932464175e-09,0.031476498682525,2.36974784663e-11,31.770461081775004,3.8702994468224986e-09,57.25,0.5,11.0,115.75,75.75,165.5
14,0.0,2.9365050813475e-07,0.027695464652287498,2.4008189366087496e-07,62.25,9.235813196295626e-09,0.0315854802025125,5.088823154045875e-11,31.674377682725,6.501364270473126e-09,58.75,0.875,9.25,48.875,22.0,149.125
15,0.0,5.4487467713874985e-06,0.022863421121650004,4.740604961446e-06,48.8,9.464865688393e-09,0.02398496309763,8.266873637884998e-11,26.688676985289998,6.71141882525e-09,48.8,0.7,22.9,148.9,132.4,132.9
16,0.0,0.0011858762175424998,0.02407275331525,0.0010347539918060002,87.25,8.517603560206249e-06,0.02583899379865,2.223956592643125e-07,38.70247084637501,6.671921537852501e-06,82.375,0.0,2.875,36.25,0.625,102.75
17,0.0,0.0012899526735472224,0.024348578306433333,0.001117162424895,86.8888888888889,1.076788997420778e-05,0.026022333674977777,2.8042519634833343e-07,38.43073663755556,8.432555771024444e-06,82.33333333333333,0.0,3.555555555555556,46.66666666666666,0.2222222222222222,90.88888888888887
18,0.0,0.0010827946907748334,0.02462245255245,0.0009433092742341668,87.16666666666669,1.1727813384128332e-05,0.02598552828408333,3.0568271517583337e-07,38.4852355962,9.18543951379e-06,83.16666666666667,0.0,4.166666666666667,55.33333333333334,0.3333333333333333,88.83333333333331
19,0.0,0.0005197233510655715,0.02439829426452857,0.0004456960337561428,88.0,7.349496735524284e-06,0.025724528959671433,1.862117896438572e-07,38.87514583281428,5.738336901917142e-06,84.0,0.0,3.4285714285714284,47.57142857142857,1.0,114.42857142857143
