,db,I,EI,p_norm,p_rand,p_sim,p_z_sim,z_norm,z_rand,pcnt_islands
0,10,,-0.0022271714922048997,,,0.001,,,,1.0
1,50,0.9001553075496357,-0.0022271714922048997,1.4910451378025158e-06,4.187047819570466e-09,0.001,3.076766161291822e-06,4.812432133522394,5.87662914502476,0.8866666666666667
2,100,0.5655646089415356,-0.0022271714922048997,0.0,0.0,0.001,0.0,9.143948500257427,11.161679890356504,0.29555555555555557
3,150,0.5274313069892222,-0.0022271714922048997,0.0,0.0,0.001,0.0,12.151339466258472,14.824156888880115,0.05555555555555555
4,200,0.4861020762327262,-0.0022271714922048997,0.0,0.0,0.001,0.0,13.408814555068814,16.345801250293935,0.024444444444444446
5,300,0.4180002911727185,-0.0022271714922048997,0.0,0.0,0.001,0.0,15.023114425179012,18.279101407577112,0.008888888888888889
6,400,0.32773480553808754,-0.0022271714922048997,0.0,0.0,0.001,0.0,14.179222052366569,17.21695534602395,0.0022222222222222222
