,,pred,pred,pred,pred,pred
,,1,2,3,4,5
true,1,0.0,1.4,0.5,0.0,0.0
true,2,0.1,2.9,7.7,0.5,0.0
true,3,0.1,2.4,20.2,3.5,0.0
true,4,0.0,0.6,9.9,10.9,0.0
true,5,0.0,0.0,0.9,1.4,0.0
