,,pred,pred,pred,pred,pred
,,1,2,3,4,5
true,1,0.1,1.0,0.8,0.0,0.0
true,2,0.4,3.6,6.3,0.9,0.0
true,3,0.8,3.0,17.2,5.2,0.0
true,4,0.2,0.5,7.2,13.4,0.1
true,5,0.0,0.1,1.0,1.0,0.2
