,,pred,pred,pred,pred,pred
,,1,2,3,4,5
true,1,0.0,1.3,0.1,0.1,0.0
true,2,0.2,6.7,6.8,2.9,0.0
true,3,0.0,3.3,17.3,10.5,0.0
true,4,0.0,1.0,7.5,22.0,0.0
true,5,0.0,0.0,1.2,1.1,0.0
