,,pred,pred,pred,pred,pred
,,1,2,3,4,5
true,1,0.0,1.2,0.3,0.0,0.0
true,2,0.4,7.0,6.6,2.6,0.0
true,3,0.0,3.2,17.5,10.0,0.4
true,4,0.0,0.8,8.0,21.6,0.1
true,5,0.0,0.0,0.6,0.9,0.8
