,,pred,pred,pred,pred,pred
,,1,2,3,4,5
true,1,0.5,0.5,0.4,0.1,0.0
true,2,0.5,7.4,6.0,2.7,0.0
true,3,0.0,3.2,16.6,11.0,0.3
true,4,0.1,1.7,8.9,19.6,0.2
true,5,0.0,0.0,0.7,1.4,0.2
